components,difference,q
9729,9729,0.000000
9730,1,0.050000
9730,0,0.100000
9732,2,0.150000
9734,2,0.200000
9730,-4,0.250000
9733,3,0.300000
9735,2,0.350000
9739,4,0.400000
9738,-1,0.450000
9738,0,0.500000
9745,7,0.550000
9745,0,0.600000
9749,4,0.650000
9747,-2,0.700000
9761,14,0.750000
9761,0,0.800000
9782,21,0.850000
9783,1,0.900000
9806,23,0.950000
10000,194,1.000000
9704,9704,0.000000
9705,1,0.050000
9707,2,0.100000
9704,-3,0.150000
9706,2,0.200000
9706,0,0.250000
9705,-1,0.300000
9706,1,0.350000
9709,3,0.400000
9710,1,0.450000
9713,3,0.500000
9718,5,0.550000
9724,6,0.600000
9719,-5,0.650000
9726,7,0.700000
9728,2,0.750000
9736,8,0.800000
9737,1,0.850000
9756,19,0.900000
9791,35,0.950000
10000,209,1.000000
9681,9681,0.000000
9681,0,0.050000
9683,2,0.100000
9684,1,0.150000
9690,6,0.200000
9687,-3,0.250000
9688,1,0.300000
9690,2,0.350000
9694,4,0.400000
9693,-1,0.450000
9700,7,0.500000
9702,2,0.550000
9702,0,0.600000
9710,8,0.650000
9713,3,0.700000
9717,4,0.750000
9724,7,0.800000
9729,5,0.850000
9743,14,0.900000
9779,36,0.950000
10000,221,1.000000
9669,9669,0.000000
9670,1,0.050000
9670,0,0.100000
9672,2,0.150000
9674,2,0.200000
9670,-4,0.250000
9683,13,0.300000
9676,-7,0.350000
9680,4,0.400000
9683,3,0.450000
9682,-1,0.500000
9686,4,0.550000
9696,10,0.600000
9699,3,0.650000
9704,5,0.700000
9709,5,0.750000
9705,-4,0.800000
9716,11,0.850000
9735,19,0.900000
9774,39,0.950000
10000,226,1.000000
9686,9686,0.000000
9688,2,0.050000
9687,-1,0.100000
9687,0,0.150000
9695,8,0.200000
9690,-5,0.250000
9691,1,0.300000
9694,3,0.350000
9693,-1,0.400000
9693,0,0.450000
9698,5,0.500000
9702,4,0.550000
9698,-4,0.600000
9698,0,0.650000
9708,10,0.700000
9714,6,0.750000
9717,3,0.800000
9728,11,0.850000
9731,3,0.900000
9758,27,0.950000
10000,242,1.000000
9693,9693,0.000000
9693,0,0.050000
9694,1,0.100000
9693,-1,0.150000
9693,0,0.200000
9694,1,0.250000
9695,1,0.300000
9696,1,0.350000
9696,0,0.400000
9695,-1,0.450000
9699,4,0.500000
9700,1,0.550000
9702,2,0.600000
9706,4,0.650000
9708,2,0.700000
9713,5,0.750000
9723,10,0.800000
9727,4,0.850000
9743,16,0.900000
9770,27,0.950000
10000,230,1.000000
9689,9689,0.000000
9689,0,0.050000
9689,0,0.100000
9690,1,0.150000
9691,1,0.200000
9692,1,0.250000
9693,1,0.300000
9691,-2,0.350000
9691,0,0.400000
9694,3,0.450000
9691,-3,0.500000
9700,9,0.550000
9696,-4,0.600000
9700,4,0.650000
9704,4,0.700000
9700,-4,0.750000
9710,10,0.800000
9714,4,0.850000
9718,4,0.900000
9752,34,0.950000
10000,248,1.000000
9705,9705,0.000000
9705,0,0.050000
9706,1,0.100000
9707,1,0.150000
9706,-1,0.200000
9706,0,0.250000
9709,3,0.300000
9712,3,0.350000
9708,-4,0.400000
9710,2,0.450000
9713,3,0.500000
9715,2,0.550000
9713,-2,0.600000
9718,5,0.650000
9721,3,0.700000
9720,-1,0.750000
9735,15,0.800000
9746,11,0.850000
9755,9,0.900000
9793,38,0.950000
10000,207,1.000000
9718,9718,0.000000
9718,0,0.050000
9719,1,0.100000
9720,1,0.150000
9721,1,0.200000
9722,1,0.250000
9723,1,0.300000
9725,2,0.350000
9723,-2,0.400000
9722,-1,0.450000
9724,2,0.500000
9724,0,0.550000
9727,3,0.600000
9729,2,0.650000
9732,3,0.700000
9738,6,0.750000
9742,4,0.800000
9754,12,0.850000
9770,16,0.900000
9801,31,0.950000
10000,199,1.000000
9667,9667,0.000000
9667,0,0.050000
9669,2,0.100000
9669,0,0.150000
9668,-1,0.200000
9671,3,0.250000
9668,-3,0.300000
9672,4,0.350000
9676,4,0.400000
9674,-2,0.450000
9676,2,0.500000
9678,2,0.550000
9683,5,0.600000
9682,-1,0.650000
9689,7,0.700000
9697,8,0.750000
9695,-2,0.800000
9713,18,0.850000
9714,1,0.900000
9749,35,0.950000
10000,251,1.000000
9731,9731,0.000000
9731,0,0.050000
9731,0,0.100000
9731,0,0.150000
9733,2,0.200000
9731,-2,0.250000
9732,1,0.300000
9731,-1,0.350000
9734,3,0.400000
9734,0,0.450000
9733,-1,0.500000
9734,1,0.550000
9736,2,0.600000
9745,9,0.650000
9746,1,0.700000
9746,0,0.750000
9748,2,0.800000
9760,12,0.850000
9772,12,0.900000
9798,26,0.950000
10000,202,1.000000
9696,9696,0.000000
9700,4,0.050000
9699,-1,0.100000
9700,1,0.150000
9701,1,0.200000
9703,2,0.250000
9704,1,0.300000
9713,9,0.350000
9712,-1,0.400000
9707,-5,0.450000
9722,15,0.500000
9716,-6,0.550000
9721,5,0.600000
9724,3,0.650000
9724,0,0.700000
9726,2,0.750000
9732,6,0.800000
9746,14,0.850000
9747,1,0.900000
9780,33,0.950000
10000,220,1.000000
9718,9718,0.000000
9719,1,0.050000
9718,-1,0.100000
9720,2,0.150000
9723,3,0.200000
9720,-3,0.250000
9724,4,0.300000
9723,-1,0.350000
9726,3,0.400000
9729,3,0.450000
9729,0,0.500000
9732,3,0.550000
9738,6,0.600000
9731,-7,0.650000
9734,3,0.700000
9742,8,0.750000
9753,11,0.800000
9757,4,0.850000
9766,9,0.900000
9803,37,0.950000
10000,197,1.000000
9713,9713,0.000000
9718,5,0.050000
