components,difference,q
1,1,0.000000
83,82,0.050000
1047,964,0.100000
5340,4293,0.150000
17367,12027,0.200000
44040,26673,0.250000
95558,51518,0.300000
185738,90180,0.350000
339049,153311,0.400000
586641,247592,0.450000
983872,397231,0.500000
1587914,604042,0.550000
2339642,751728,0.600000
3186446,846804,0.650000
4096880,910434,0.700000
5045689,948809,0.750000
6016662,970973,0.800000
7006294,989632,0.850000
7999196,992902,0.900000
8998716,999520,0.950000
9997156,998440,1.000000
1,1,0.000000
92,91,0.050000
1114,1022,0.100000
5313,4199,0.150000
17339,12026,0.200000
43782,26443,0.250000
95345,51563,0.300000
186147,90802,0.350000
338366,152219,0.400000
586861,248495,0.450000
985187,398326,0.500000
1587034,601847,0.550000
2337253,750219,0.600000
3189179,851926,0.650000
4095022,905843,0.700000
5043738,948716,0.750000
6018011,974273,0.800000
7001997,983986,0.850000
7999914,997917,0.900000
8997352,997438,0.950000
9997156,999804,1.000000
1,1,0.000000
81,80,0.050000
1112,1031,0.100000
5379,4267,0.150000
17551,12172,0.200000
43720,26169,0.250000
95482,51762,0.300000
185968,90486,0.350000
338138,152170,0.400000
585692,247554,0.450000
985209,399517,0.500000
1585484,600275,0.550000
2339377,753893,0.600000
3189436,850059,0.650000
4095996,906560,0.700000
5044084,948088,0.750000
6017040,972956,0.800000
7003389,986349,0.850000
8000770,997381,0.900000
8996703,995933,0.950000
9997156,1000453,1.000000
1,1,0.000000
96,95,0.050000
1073,977,0.100000
5407,4334,0.150000
17407,12000,0.200000
44366,26959,0.250000
95618,51252,0.300000
186035,90417,0.350000
338755,152720,0.400000
587060,248305,0.450000
982854,395794,0.500000
1588635,605781,0.550000
2338133,749498,0.600000
3187167,849034,0.650000
4092925,905758,0.700000
5043445,950520,0.750000
6018257,974812,0.800000
7005154,986897,0.850000
7999954,994800,0.900000
8997573,997619,0.950000
9997156,999583,1.000000
1,1,0.000000
80,79,0.050000
1012,932,0.100000
5360,4348,0.150000
17385,12025,0.200000
43845,26460,0.250000
95149,51304,0.300000
185568,90419,0.350000
337991,152423,0.400000
585761,247770,0.450000
984673,398912,0.500000
1588720,604047,0.550000
2339013,750293,0.600000
3188024,849011,0.650000
4096911,908887,0.700000
5046877,949966,0.750000
6017014,970137,0.800000
7004038,987024,0.850000
7999710,995672,0.900000
8997924,998214,0.950000
9997156,999232,1.000000
1,1,0.000000
67,66,0.050000
1067,1000,0.100000
5517,4450,0.150000
17402,11885,0.200000
43841,26439,0.250000
95882,52041,0.300000
185515,89633,0.350000
339143,153628,0.400000
586557,247414,0.450000
984851,398294,0.500000
1587727,602876,0.550000
2338392,750665,0.600000
3191713,853321,0.650000
4095643,903930,0.700000
5041828,946185,0.750000
6018677,976849,0.800000
7006526,987849,0.850000
8000685,994159,0.900000
8998081,997396,0.950000
9997156,999075,1.000000
1,1,0.000000
70,69,0.050000
1078,1008,0.100000
5453,4375,0.150000
17617,12164,0.200000
43566,25949,0.250000
94895,51329,0.300000
186724,91829,0.350000
339415,152691,0.400000
587972,248557,0.450000
984240,396268,0.500000
1588222,603982,0.550000
2343408,755186,0.600000
3189863,846455,0.650000
4094196,904333,0.700000
5044810,950614,0.750000
6017134,972324,0.800000
7002545,985411,0.850000
8000443,997898,0.900000
8997989,997546,0.950000
9997156,999167,1.000000
1,1,0.000000
72,71,0.050000
1064,992,0.100000
5353,4289,0.150000
17431,12078,0.200000
44169,26738,0.250000
95145,50976,0.300000
185922,90777,0.350000
338662,152740,0.400000
586505,247843,0.450000
982884,396379,0.500000
1581393,598509,0.550000
2341531,760138,0.600000
3183118,841587,0.650000
4093922,910804,0.700000
5044064,950142,0.750000
6019123,975059,0.800000
7002384,983261,0.850000
7997988,995604,0.900000
9000424,1002436,0.950000
9997156,996732,1.000000
1,1,0.000000
82,81,0.050000
1049,967,0.100000
5382,4333,0.150000
17619,12237,0.200000
43895,26276,0.250000
94741,50846,0.300000
186546,91805,0.350000
339224,152678,0.400000
586459,247235,0.450000
984648,398189,0.500000
1585978,601330,0.550000
2340217,754239,0.600000
3187875,847658,0.650000
4094320,906445,0.700000
5043846,949526,0.750000
6012859,969013,0.800000
7002115,989256,0.850000
8000777,998662,0.900000
8996283,995506,0.950000
9997156,1000873,1.000000
1,1,0.000000
76,75,0.050000
1092,1016,0.100000
5401,4309,0.150000
17373,11972,0.200000
44136,26763,0.250000
95374,51238,0.300000
185804,90430,0.350000
338618,152814,0.400000
587607,248989,0.450000
980254,392647,0.500000
1584661,604407,0.550000
2337945,753284,0.600000
3186786,848841,0.650000
4097947,911161,0.700000
5044039,946092,0.750000
6018221,974182,0.800000
7003459,985238,0.850000
8000421,996962,0.900000
8998435,998014,0.950000
9997156,998721,1.000000
1,1,0.000000
81,80,0.050000
1019,938,0.100000
5336,4317,0.150000
17275,11939,0.200000
44019,26744,0.250000
95803,51784,0.300000
186836,91033,0.350000
339102,152266,0.400000
586060,246958,0.450000
982297,396237,0.500000
1586247,603950,0.550000
2338158,751911,0.600000
3187291,849133,0.650000
4096529,909238,0.700000
5044903,948374,0.750000
6019312,974409,0.800000
7006386,987074,0.850000
8000957,994571,0.900000
8998901,997944,0.950000
9997156,998255,1.000000
1,1,0.000000
67,66,0.050000
1106,1039,0.100000
5307,4201,0.150000
17314,12007,0.200000
43871,26557,0.250000
95512,51641,0.300000
185562,90050,0.350000
338476,152914,0.400000
587328,248852,0.450000
985073,397745,0.500000
1589696,604623,0.550000
2339856,750160,0.600000
3182630,842774,0.650000
4100283,917653,0.700000
5044887,944604,0.750000
6017216,972329,0.800000
7002303,985087,0.850000
8000160,997857,0.900000
8997239,997079,0.950000
9997156,999917,1.000000
1,1,0.000000
81,80,0.050000
1117,1036,0.100000
5317,4200,0.150000
17551,12234,0.200000
43807,26256,0.250000
95016,51209,0.300000
186576,91560,0.350000
339688,153112,0.400000
586485,246797,0.450000
980621,394136,0.500000
1587840,607219,0.550000
2340785,752945,0.600000
3186191,845406,0.650000
4093166,906975,0.700000
5043404,950238,0.750000
6016636,973232,0.800000
7005102,988466,0.850000
8002938,997836,0.900000
8997162,994224,0.950000
9997156,999994,1.000000
1,1,0.000000
72,71,0.050000
1088,1016,0.100000
5453,4365,0.150000
17433,11980,0.200000
43907,26474,0.250000
95560,51653,0.300000
186218,90658,0.350000
338724,152506,0.400000
587248,248524,0.450000
985492,398244,0.500000
1587962,602470,0.550000
2338888,750926,0.600000
3189227,850339,0.650000
4094848,905621,0.700000
5044964,950116,0.750000
6014760,969796,0.800000
7002511,987751,0.850000
7998304,995793,0.900000
8996861,998557,0.950000
9997156,1000295,1.000000
1,1,0.000000
69,68,0.050000
1078,1009,0.100000
5268,4190,0.150000
17340,12072,0.200000
43890,26550,0.250000
94923,51033,0.300000
186644,91721,0.350000
339249,152605,0.400000
587942,248693,0.450000
981513,393571,0.500000
1589695,608182,0.550000
2338410,748715,0.600000
3185500,847090,0.650000
4092893,907393,0.700000
5043677,950784,0.750000
6017398,973721,0.800000
7001856,984458,0.850000
7999176,997320,0.900000
8997943,998767,0.950000
9997156,999213,1.000000
1,1,0.000000
80,79,0.050000
1049,969,0.100000
5425,4376,0.150000
17326,11901,0.200000
44125,26799,0.250000
95300,51175,0.300000
185910,90610,0.350000
339681,153771,0.400000
586737,247056,0.450000
983666,396929,0.500000
1587709,604043,0.550000
2338770,751061,0.600000
3186989,848219,0.650000
4095193,908204,0.700000
5041815,946622,0.750000
6017117,975302,0.800000
7002899,985782,0.850000
8001070,998171,0.900000
8998370,997300,0.950000
9997156,998786,1.000000
1,1,0.000000
73,72,0.050000
1068,995,0.100000
5441,4373,0.150000
17414,11973,0.200000
43801,26387,0.250000
95213,51412,0.300000
185406,90193,0.350000
338114,152708,0.400000
587255,249141,0.450000
981748,394493,0.500000
1586640,604892,0.550000
2342216,755576,0.600000
3189851,847635,0.650000
4097395,907544,0.700000
5042859,945464,0.750000
6018838,975979,0.800000
7005309,986471,0.850000
8000833,995524,0.900000
8997328,996495,0.950000
9997156,999828,1.000000
1,1,0.000000
73,72,0.050000
1091,1018,0.100000
5341,4250,0.150000
17310,11969,0.200000
43902,26592,0.250000
95566,51664,0.300000
184952,89386,0.350000
339468,154516,0.400000
587486,248018,0.450000
985523,398037,0.500000
1587332,601809,0.550000
2337815,750483,0.600000
3186253,848438,0.650000
4098476,912223,0.700000
5044462,945986,0.750000
6015844,971382,0.800000
7004834,988990,0.850000
7997487,992653,0.900000
8998423,1000936,0.950000
9997156,998733,1.000000
1,1,0.000000
79,78,0.050000
1069,990,0.100000
5318,4249,0.150000
17277,11959,0.200000
43860,26583,0.250000
94364,50504,0.300000
185499,91135,0.350000
338239,152740,0.400000
587215,248976,0.450000
983860,396645,0.500000
1586957,603097,0.550000
2340006,753049,0.600000
3188981,848975,0.650000
4097515,908534,0.700000
5044296,946781,0.750000
6015423,971127,0.800000
7000384,984961,0.850000
8000857,1000473,0.900000
8996782,995925,0.950000
9997156,1000374,1.000000
1,1,0.000000
73,72,0.050000
1122,1049,0.100000
5369,4247,0.150000
17257,11888,0.200000
43612,26355,0.250000
95160,51548,0.300000
186354,91194,0.350000
338486,152132,0.400000
588102,249616,0.450000
982449,394347,0.500000
1588423,605974,0.550000
2337869,749446,0.600000
3187813,849944,0.650000
4095704,907891,0.700000
5043541,947837,0.750000
6017993,974452,0.800000
7004673,986680,0.850000
7996990,992317,0.900000
8997155,1000165,0.950000
9997156,1000001,1.000000
1,1,0.000000
82,81,0.050000
1128,1046,0.100000
5358,4230,0.150000
17654,12296,0.200000
43799,26145,0.250000
95504,51705,0.300000
186096,90592,0.350000
339460,153364,0.400000
587121,247661,0.450000
982950,395829,0.500000
1588330,605380,0.550000
2339524,751194,0.600000
3187639,848115,0.650000
4094206,906567,0.700000
5044425,950219,0.750000
6018294,973869,0.800000
7003959,985665,0.850000
7999478,995519,0.900000
8998349,998871,0.950000
9997156,998807,1.000000
1,1,0.000000
62,61,0.050000
1065,1003,0.100000
5387,4322,0.150000
17538,12151,0.200000
43865,26327,0.250000
94898,51033,0.300000
186148,91250,0.350000
337998,151850,0.400000
585794,247796,0.450000
982675,396881,0.500000
1588150,605475,0.550000
2336129,747979,0.600000
3189381,853252,0.650000
4095864,906483,0.700000
5046223,950359,0.750000
6017794,971571,0.800000
7006611,988817,0.850000
7999504,992893,0.900000
8997575,998071,0.950000
9997156,999581,1.000000
1,1,0.000000
85,84,0.050000
1145,1060,0.100000
5527,4382,0.150000
17570,12043,0.200000
43705,26135,0.250000
95140,51435,0.300000
185862,90722,0.350000
339380,153518,0.400000
586391,247011,0.450000
984047,397656,0.500000
1588544,604497,0.550000
2342080,753536,0.600000
3185868,843788,0.650000
4096799,910931,0.700000
5041349,944550,0.750000
6017670,976321,0.800000
7005297,987627,0.850000
7999220,993923,0.900000
8996626,997406,0.950000
9997156,1000530,1.000000
1,1,0.000000
77,76,0.050000
1100,1023,0.100000
5392,4292,0.150000
17586,12194,0.200000
44375,26789,0.250000
95247,50872,0.300000
186190,90943,0.350000
337673,151483,0.400000
585909,248236,0.450000
983454,397545,0.500000
1590331,606877,0.550000
2339848,749517,0.600000
3186027,846179,0.650000
4096488,910461,0.700000
5045682,949194,0.750000
6017438,971756,0.800000
7004785,987347,0.850000
7998833,994048,0.900000
8996692,997859,0.950000
9997156,1000464,1.000000
1,1,0.000000
79,78,0.050000
1114,1035,0.100000
5418,4304,0.150000
17228,11810,0.200000
43685,26457,0.250000
95091,51406,0.300000
186476,91385,0.350000
337804,151328,0.400000
