components,difference,q
90652,90652,0.000000
90653,1,0.050000
90656,3,0.100000
90660,4,0.150000
90657,-3,0.200000
90665,8,0.250000
90667,2,0.300000
90673,6,0.350000
90672,-1,0.400000
90681,9,0.450000
90679,-2,0.500000
90688,9,0.550000
90708,20,0.600000
90715,7,0.650000
90717,2,0.700000
90741,24,0.750000
90783,42,0.800000
90819,36,0.850000
90878,59,0.900000
91039,161,0.950000
100000,8961,1.000000
90536,90536,0.000000
90536,0,0.050000
90537,1,0.100000
90541,4,0.150000
90545,4,0.200000
90542,-3,0.250000
90544,2,0.300000
90547,3,0.350000
90554,7,0.400000
90564,10,0.450000
90565,1,0.500000
90569,4,0.550000
90583,14,0.600000
90589,6,0.650000
90603,14,0.700000
90613,10,0.750000
90640,27,0.800000
90686,46,0.850000
90752,66,0.900000
90880,128,0.950000
100000,9120,1.000000
90436,90436,0.000000
90437,1,0.050000
90445,8,0.100000
90444,-1,0.150000
90450,6,0.200000
90456,6,0.250000
90460,4,0.300000
90465,5,0.350000
90470,5,0.400000
90478,8,0.450000
90490,12,0.500000
90498,8,0.550000
90511,13,0.600000
90519,8,0.650000
90531,12,0.700000
90538,7,0.750000
90581,43,0.800000
90623,42,0.850000
90695,72,0.900000
90845,150,0.950000
100000,9155,1.000000
90390,90390,0.000000
90390,0,0.050000
90390,0,0.100000
90390,0,0.150000
90391,1,0.200000
90390,-1,0.250000
90391,1,0.300000
90394,3,0.350000
90400,6,0.400000
90394,-6,0.450000
90399,5,0.500000
90404,5,0.550000
90411,7,0.600000
90419,8,0.650000
90435,16,0.700000
90444,9,0.750000
90492,48,0.800000
90540,48,0.850000
90606,66,0.900000
90827,221,0.950000
100000,9173,1.000000
90758,90758,0.000000
90759,1,0.050000
90760,1,0.100000
90759,-1,0.150000
90765,6,0.200000
90766,1,0.250000
90765,-1,0.300000
90773,8,0.350000
90784,11,0.400000
90783,-1,0.450000
90786,3,0.500000
90803,17,0.550000
90811,8,0.600000
90811,0,0.650000
90828,17,0.700000
90843,15,0.750000
90873,30,0.800000
90920,47,0.850000
90985,65,0.900000
91147,162,0.950000
100000,8853,1.000000
90519,90519,0.000000
90521,2,0.050000
90527,6,0.100000
90533,6,0.150000
90537,4,0.200000
90539,2,0.250000
90543,4,0.300000
90551,8,0.350000
90552,1,0.400000
90555,3,0.450000
90567,12,0.500000
90579,12,0.550000
90597,18,0.600000
90605,8,0.650000
90624,19,0.700000
90636,12,0.750000
90668,32,0.800000
90710,42,0.850000
90817,107,0.900000
90954,137,0.950000
100000,9046,1.000000
90429,90429,0.000000
90432,3,0.050000
90433,1,0.100000
90441,8,0.150000
90439,-2,0.200000
90442,3,0.250000
90445,3,0.300000
90458,13,0.350000
90453,-5,0.400000
90448,-5,0.450000
90472,24,0.500000
90477,5,0.550000
90479,2,0.600000
90490,11,0.650000
90501,11,0.700000
90519,18,0.750000
90547,28,0.800000
90582,35,0.850000
90640,58,0.900000
90759,119,0.950000
100000,9241,1.000000
90505,90505,0.000000
90505,0,0.050000
90511,6,0.100000
90513,2,0.150000
90513,0,0.200000
90520,7,0.250000
90527,7,0.300000
90531,4,0.350000
90522,-9,0.400000
90540,18,0.450000
90542,2,0.500000
90546,4,0.550000
90540,-6,0.600000
90562,22,0.650000
90570,8,0.700000
90592,22,0.750000
90595,3,0.800000
90644,49,0.850000
90670,26,0.900000
90810,140,0.950000
100000,9190,1.000000
90491,90491,0.000000
90492,1,0.050000
90496,4,0.100000
90497,1,0.150000
90502,5,0.200000
90509,7,0.250000
90511,2,0.300000
90518,7,0.350000
90514,-4,0.400000
90527,13,0.450000
90530,3,0.500000
90543,13,0.550000
90559,16,0.600000
90578,19,0.650000
90595,17,0.700000
90612,17,0.750000
90655,43,0.800000
90680,25,0.850000
90750,70,0.900000
90936,186,0.950000
100000,9064,1.000000
90624,90624,0.000000
90624,0,0.050000
90627,3,0.100000
90627,0,0.150000
90631,4,0.200000
90630,-1,0.250000
90635,5,0.300000
90637,2,0.350000
90642,5,0.400000
90640,-2,0.450000
90649,9,0.500000
90650,1,0.550000
90656,6,0.600000
90665,9,0.650000
90672,7,0.700000
90683,11,0.750000
90705,22,0.800000
90748,43,0.850000
90805,57,0.900000
90990,185,0.950000
100000,9010,1.000000
90456,90456,0.000000
90466,10,0.050000
90468,2,0.100000
90469,1,0.150000
90472,3,0.200000
90488,16,0.250000
90499,11,0.300000
90496,-3,0.350000
90515,19,0.400000
90523,8,0.450000
90537,14,0.500000
90551,14,0.550000
90589,38,0.600000
90589,0,0.650000
90621,32,0.700000
90662,41,0.750000
90692,30,0.800000
90766,74,0.850000
90837,71,0.900000
91026,189,0.950000
100000,8974,1.000000
90550,90550,0.000000
90550,0,0.050000
90555,5,0.100000
90560,5,0.150000
90562,2,0.200000
90569,7,0.250000
90568,-1,0.300000
90585,17,0.350000
90587,2,0.400000
90593,6,0.450000
90593,0,0.500000
90602,9,0.550000
90617,15,0.600000
90622,5,0.650000
90648,26,0.700000
90659,11,0.750000
90678,19,0.800000
90718,40,0.850000
90778,60,0.900000
90949,171,0.950000
100000,9051,1.000000
90628,90628,0.000000
90628,0,0.050000
90632,4,0.100000
90637,5,0.150000
90640,3,0.200000
90639,-1,0.250000
90645,6,0.300000
90641,-4,0.350000
90649,8,0.400000
90658,9,0.450000
90662,4,0.500000
90676,14,0.550000
90680,4,0.600000
90701,21,0.650000
90714,13,0.700000
90743,29,0.750000
90749,6,0.800000
90803,54,0.850000
90894,91,0.900000
91074,180,0.950000
100000,8926,1.000000
90690,90690,0.000000
90695,5,0.050000
90701,6,0.100000
90701,0,0.150000
90703,2,0.200000
90713,10,0.250000
90711,-2,0.300000
90721,10,0.350000
90731,10,0.400000
90736,5,0.450000
90749,13,0.500000
90768,19,0.550000
90781,13,0.600000
90789,8,0.650000
90821,32,0.700000
90838,17,0.750000
90881,43,0.800000
90903,22,0.850000
91004,101,0.900000
91161,157,0.950000
100000,8839,1.000000
90296,90296,0.000000
90301,5,0.050000
90302,1,0.100000
90305,3,0.150000
90310,5,0.200000
90314,4,0.250000
90322,8,0.300000
90328,6,0.350000
90328,0,0.400000
90329,1,0.450000
90338,9,0.500000
90356,18,0.550000
90355,-1,0.600000
90376,21,0.650000
90388,12,0.700000
90400,12,0.750000
90436,36,0.800000
90471,35,0.850000
90535,64,0.900000
90668,133,0.950000
100000,9332,1.000000
90450,90450,0.000000
90452,2,0.050000
90452,0,0.100000
90456,4,0.150000
90456,0,0.200000
90459,3,0.250000
90463,4,0.300000
90468,5,0.350000
90474,6,0.400000
90475,1,0.450000
90483,8,0.500000
90484,1,0.550000
90490,6,0.600000
90517,27,0.650000
90523,6,0.700000
90534,11,0.750000
90567,33,0.800000
90610,43,0.850000
90681,71,0.900000
90834,153,0.950000
100000,9166,1.000000
90439,90439,0.000000
90440,1,0.050000
90442,2,0.100000
90445,3,0.150000
90448,3,0.200000
90450,2,0.250000
90460,10,0.300000
90458,-2,0.350000
90463,5,0.400000
90462,-1,0.450000
90475,13,0.500000
90486,11,0.550000
90482,-4,0.600000
90499,17,0.650000
90504,5,0.700000
90539,35,0.750000
90569,30,0.800000
90629,60,0.850000
90694,65,0.900000
90906,212,0.950000
100000,9094,1.000000
90602,90602,0.000000
90611,9,0.050000
90613,2,0.100000
90618,5,0.150000
90625,7,0.200000
90632,7,0.250000
90642,10,0.300000
90657,15,0.350000
90674,17,0.400000
90681,7,0.450000
90691,10,0.500000
90708,17,0.550000
90716,8,0.600000
90732,16,0.650000
90756,24,0.700000
90788,32,0.750000
90804,16,0.800000
90853,49,0.850000
90928,75,0.900000
91072,144,0.950000
100000,8928,1.000000
90443,90443,0.000000
90445,2,0.050000
90450,5,0.100000
90451,1,0.150000
90452,1,0.200000
90453,1,0.250000
90469,16,0.300000
90467,-2,0.350000
90472,5,0.400000
90491,19,0.450000
90488,-3,0.500000
90491,3,0.550000
90515,24,0.600000
90523,8,0.650000
90539,16,0.700000
90569,30,0.750000
90589,20,0.800000
90626,37,0.850000
90703,77,0.900000
90850,147,0.950000
100000,9150,1.000000
90339,90339,0.000000
90345,6,0.050000
90347,2,0.100000
90347,0,0.150000
90357,10,0.200000
90372,15,0.250000
90361,-11,0.300000
90365,4,0.350000
90378,13,0.400000
90397,19,0.450000
90404,7,0.500000
90419,15,0.550000
90416,-3,0.600000
90428,12,0.650000
90456,28,0.700000
90482,26,0.750000
90513,31,0.800000
90565,52,0.850000
90675,110,0.900000
90883,208,0.950000
100000,9117,1.000000
90356,90356,0.000000
90359,3,0.050000
90362,3,0.100000
90374,12,0.150000
90383,9,0.200000
90380,-3,0.250000
90393,13,0.300000
90401,8,0.350000
90407,6,0.400000
90412,5,0.450000
90430,18,0.500000
90441,11,0.550000
90449,8,0.600000
90467,18,0.650000
90479,12,0.700000
90510,31,0.750000
90542,32,0.800000
90585,43,0.850000
90652,67,0.900000
90795,143,0.950000
100000,9205,1.000000
90431,90431,0.000000
90432,1,0.050000
90435,3,0.100000
90442,7,0.150000
90437,-5,0.200000
90438,1,0.250000
90440,2,0.300000
90444,4,0.350000
90452,8,0.400000
90451,-1,0.450000
90463,12,0.500000
90453,-10,0.550000
90480,27,0.600000
90492,12,0.650000
