components,difference,q
9993,9993,0.000000
9993,0,0.050000
9993,0,0.100000
9993,0,0.150000
9993,0,0.200000
9994,1,0.250000
9995,1,0.300000
9994,-1,0.350000
9993,-1,0.400000
9993,0,0.450000
9996,3,0.500000
9996,0,0.550000
9995,-1,0.600000
9996,1,0.650000
9994,-2,0.700000
9999,5,0.750000
9998,-1,0.800000
9997,-1,0.850000
10000,3,0.900000
9998,-2,0.950000
10000,2,1.000000
9989,9989,0.000000
9990,1,0.050000
9989,-1,0.100000
9989,0,0.150000
9989,0,0.200000
9989,0,0.250000
9989,0,0.300000
9993,4,0.350000
9991,-2,0.400000
9991,0,0.450000
9994,3,0.500000
9992,-2,0.550000
9997,5,0.600000
9993,-4,0.650000
9998,5,0.700000
9995,-3,0.750000
9998,3,0.800000
9997,-1,0.850000
9997,0,0.900000
10000,3,0.950000
10000,0,1.000000
9994,9994,0.000000
9994,0,0.050000
9994,0,0.100000
9995,1,0.150000
9994,-1,0.200000
9994,0,0.250000
9995,1,0.300000
9995,0,0.350000
9995,0,0.400000
9995,0,0.450000
9996,1,0.500000
9997,1,0.550000
9998,1,0.600000
9997,-1,0.650000
9998,1,0.700000
9997,-1,0.750000
9998,1,0.800000
10000,2,0.850000
9998,-2,0.900000
9999,1,0.950000
10000,1,1.000000
9993,9993,0.000000
9993,0,0.050000
9993,0,0.100000
9993,0,0.150000
9994,1,0.200000
9993,-1,0.250000
9993,0,0.300000
9994,1,0.350000
9994,0,0.400000
9993,-1,0.450000
9995,2,0.500000
9994,-1,0.550000
9994,0,0.600000
9994,0,0.650000
9994,0,0.700000
9994,0,0.750000
9998,4,0.800000
9996,-2,0.850000
9996,0,0.900000
10000,4,0.950000
10000,0,1.000000
9994,9994,0.000000
9994,0,0.050000
9994,0,0.100000
9994,0,0.150000
9994,0,0.200000
9994,0,0.250000
9994,0,0.300000
9995,1,0.350000
9995,0,0.400000
9995,0,0.450000
9996,1,0.500000
9995,-1,0.550000
9995,0,0.600000
9998,3,0.650000
9997,-1,0.700000
9999,2,0.750000
9998,-1,0.800000
9998,0,0.850000
9999,1,0.900000
10000,1,0.950000
10000,0,1.000000
9985,9985,0.000000
9985,0,0.050000
9986,1,0.100000
9985,-1,0.150000
9985,0,0.200000
9986,1,0.250000
9986,0,0.300000
9985,-1,0.350000
9986,1,0.400000
9986,0,0.450000
9986,0,0.500000
9987,1,0.550000
9987,0,0.600000
9988,1,0.650000
9989,1,0.700000
9990,1,0.750000
9988,-2,0.800000
9991,3,0.850000
9994,3,0.900000
10000,6,0.950000
10000,0,1.000000
9985,9985,0.000000
9985,0,0.050000
9985,0,0.100000
9985,0,0.150000
9985,0,0.200000
9985,0,0.250000
9985,0,0.300000
9985,0,0.350000
9985,0,0.400000
9987,2,0.450000
9985,-2,0.500000
9986,1,0.550000
9987,1,0.600000
9986,-1,0.650000
9986,0,0.700000
9990,4,0.750000
9991,1,0.800000
9992,1,0.850000
9996,4,0.900000
9999,3,0.950000
10000,1,1.000000
9989,9989,0.000000
9989,0,0.050000
9989,0,0.100000
9990,1,0.150000
9989,-1,0.200000
9989,0,0.250000
9991,2,0.300000
9991,0,0.350000
9990,-1,0.400000
9989,-1,0.450000
9991,2,0.500000
9990,-1,0.550000
9991,1,0.600000
9992,1,0.650000
9993,1,0.700000
9993,0,0.750000
9996,3,0.800000
9996,0,0.850000
9999,3,0.900000
9999,0,0.950000
10000,1,1.000000
9987,9987,0.000000
9987,0,0.050000
9989,2,0.100000
9987,-2,0.150000
9988,1,0.200000
9988,0,0.250000
9987,-1,0.300000
9991,4,0.350000
9991,0,0.400000
9990,-1,0.450000
9990,0,0.500000
9992,2,0.550000
9995,3,0.600000
9997,2,0.650000
9997,0,0.700000
9996,-1,0.750000
9995,-1,0.800000
9998,3,0.850000
9996,-2,0.900000
9999,3,0.950000
10000,1,1.000000
9989,9989,0.000000
9989,0,0.050000
9989,0,0.100000
9990,1,0.150000
9990,0,0.200000
9990,0,0.250000
9989,-1,0.300000
9989,0,0.350000
9991,2,0.400000
9992,1,0.450000
9991,-1,0.500000
9992,1,0.550000
9993,1,0.600000
9992,-1,0.650000
9992,0,0.700000
9990,-2,0.750000
9998,8,0.800000
9997,-1,0.850000
9996,-1,0.900000
10000,4,0.950000
10000,0,1.000000
9990,9990,0.000000
9990,0,0.050000
9990,0,0.100000
9990,0,0.150000
9992,2,0.200000
9991,-1,0.250000
9993,2,0.300000
9991,-2,0.350000
9992,1,0.400000
9990,-2,0.450000
9995,5,0.500000
9993,-2,0.550000
9992,-1,0.600000
9994,2,0.650000
9994,0,0.700000
9999,5,0.750000
9995,-4,0.800000
9998,3,0.850000
