components,difference,q
8833,8833,0.000000
8836,3,0.050000
8834,-2,0.100000
8839,5,0.150000
8843,4,0.200000
8848,5,0.250000
8855,7,0.300000
8851,-4,0.350000
8851,0,0.400000
8851,0,0.450000
8869,18,0.500000
8867,-2,0.550000
8866,-1,0.600000
8865,-1,0.650000
8874,9,0.700000
8874,0,0.750000
8889,15,0.800000
8898,9,0.850000
8928,30,0.900000
8966,38,0.950000
10000,1034,1.000000
8838,8838,0.000000
8838,0,0.050000
8840,2,0.100000
8840,0,0.150000
8840,0,0.200000
8842,2,0.250000
8842,0,0.300000
8843,1,0.350000
8845,2,0.400000
8847,2,0.450000
8845,-2,0.500000
8848,3,0.550000
8848,0,0.600000
8856,8,0.650000
8864,8,0.700000
8870,6,0.750000
8881,11,0.800000
8896,15,0.850000
8914,18,0.900000
8967,53,0.950000
10000,1033,1.000000
8876,8876,0.000000
8879,3,0.050000
8881,2,0.100000
8879,-2,0.150000
8882,3,0.200000
8890,8,0.250000
8889,-1,0.300000
8892,3,0.350000
8892,0,0.400000
8894,2,0.450000
8899,5,0.500000
8896,-3,0.550000
8908,12,0.600000
8906,-2,0.650000
8913,7,0.700000
8914,1,0.750000
8929,15,0.800000
8940,11,0.850000
8955,15,0.900000
9005,50,0.950000
10000,995,1.000000
8781,8781,0.000000
8783,2,0.050000
8785,2,0.100000
8788,3,0.150000
8793,5,0.200000
8793,0,0.250000
8792,-1,0.300000
8801,9,0.350000
8808,7,0.400000
8803,-5,0.450000
8811,8,0.500000
8809,-2,0.550000
8818,9,0.600000
8826,8,0.650000
8830,4,0.700000
8838,8,0.750000
8847,9,0.800000
8844,-3,0.850000
8874,30,0.900000
8934,60,0.950000
10000,1066,1.000000
8821,8821,0.000000
8825,4,0.050000
8827,2,0.100000
8828,1,0.150000
8837,9,0.200000
8838,1,0.250000
8846,8,0.300000
8846,0,0.350000
8842,-4,0.400000
8859,17,0.450000
8859,0,0.500000
8867,8,0.550000
8872,5,0.600000
8881,9,0.650000
8892,11,0.700000
8903,11,0.750000
8904,1,0.800000
8922,18,0.850000
8958,36,0.900000
9019,61,0.950000
10000,981,1.000000
8740,8740,0.000000
8740,0,0.050000
8741,1,0.100000
8744,3,0.150000
8747,3,0.200000
8744,-3,0.250000
8742,-2,0.300000
8750,8,0.350000
8750,0,0.400000
8748,-2,0.450000
8754,6,0.500000
8756,2,0.550000
8752,-4,0.600000
8766,14,0.650000
8769,3,0.700000
8777,8,0.750000
8799,22,0.800000
8801,2,0.850000
8826,25,0.900000
8891,65,0.950000
10000,1109,1.000000
8739,8739,0.000000
8740,1,0.050000
8742,2,0.100000
8742,0,0.150000
8744,2,0.200000
8745,1,0.250000
8745,0,0.300000
8747,2,0.350000
8750,3,0.400000
8752,2,0.450000
8752,0,0.500000
8759,7,0.550000
8762,3,0.600000
8773,11,0.650000
8767,-6,0.700000
8774,7,0.750000
8794,20,0.800000
8812,18,0.850000
8832,20,0.900000
8896,64,0.950000
10000,1104,1.000000
8790,8790,0.000000
8793,3,0.050000
8793,0,0.100000
8801,8,0.150000
8803,2,0.200000
8807,4,0.250000
8805,-2,0.300000
8815,10,0.350000
8813,-2,0.400000
8816,3,0.450000
8825,9,0.500000
8827,2,0.550000
8831,4,0.600000
8839,8,0.650000
8841,2,0.700000
8854,13,0.750000
8871,17,0.800000
8885,14,0.850000
8910,25,0.900000
8974,64,0.950000
10000,1026,1.000000
8720,8720,0.000000
8720,0,0.050000
8720,0,0.100000
8720,0,0.150000
8723,3,0.200000
8721,-2,0.250000
8729,8,0.300000
8731,2,0.350000
8729,-2,0.400000
8729,0,0.450000
8733,4,0.500000
8737,4,0.550000
8744,7,0.600000
8743,-1,0.650000
8755,12,0.700000
8759,4,0.750000
