components,difference,q
1062558,187173,0.600000
1201770,139212,0.650000
1280707,78937,0.700000
1288573,7866,0.750000
1216159,-72414,0.800000
1054719,-161440,0.850000
800889,-253830,0.900000
449925,-350964,0.950000
0,-449925,1.000000
1,1,0.000000
61,60,0.050000
977,916,0.100000
4641,3664,0.150000
14402,9761,0.200000
34552,20150,0.250000
73182,38630,0.300000
141139,67957,0.350000
254313,113174,0.400000
440483,186170,0.450000
658859,218376,0.500000
874420,215561,0.550000
1061524,187104,0.600000
1203233,141709,0.650000
1280695,77462,0.700000
1289544,8849,0.750000
1215589,-73955,0.800000
1056107,-159482,0.850000
801356,-254751,0.900000
449159,-352197,0.950000
0,-449159,1.000000
1,1,0.000000
67,66,0.050000
979,912,0.100000
4696,3717,0.150000
14317,9621,0.200000
34580,20263,0.250000
73617,39037,0.300000
141234,67617,0.350000
255569,114335,0.400000
439436,183867,0.450000
659115,219679,0.500000
876517,217402,0.550000
1063929,187412,0.600000
1202522,138593,0.650000
1280705,78183,0.700000
1289342,8637,0.750000
1217315,-72027,0.800000
1054488,-162827,0.850000
800671,-253817,0.900000
449706,-350965,0.950000
0,-449706,1.000000
1,1,0.000000
78,77,0.050000
953,875,0.100000
4688,3735,0.150000
14322,9634,0.200000
34435,20113,0.250000
73271,38836,0.300000
140982,67711,0.350000
255480,114498,0.400000
441527,186047,0.450000
658809,217282,0.500000
873861,215052,0.550000
1061627,187766,0.600000
1203279,141652,0.650000
1281297,78018,0.700000
1290072,8775,0.750000
1216587,-73485,0.800000
1056237,-160350,0.850000
800249,-255988,0.900000
449813,-350436,0.950000
0,-449813,1.000000
1,1,0.000000
60,59,0.050000
959,899,0.100000
4765,3806,0.150000
14416,9651,0.200000
34831,20415,0.250000
73270,38439,0.300000
140565,67295,0.350000
255235,114670,0.400000
438644,183409,0.450000
659814,221170,0.500000
874378,214564,0.550000
1062822,188444,0.600000
1202191,139369,0.650000
1282602,80411,0.700000
1289089,6487,0.750000
1215197,-73892,0.800000
1054790,-160407,0.850000
800937,-253853,0.900000
449785,-351152,0.950000
0,-449785,1.000000
1,1,0.000000
79,78,0.050000
1030,951,0.100000
4596,3566,0.150000
14110,9514,0.200000
34903,20793,0.250000
73325,38422,0.300000
140671,67346,0.350000
254660,113989,0.400000
442178,187518,0.450000
660068,217890,0.500000
874315,214247,0.550000
1061768,187453,0.600000
1202761,140993,0.650000
1281618,78857,0.700000
1290307,8689,0.750000
1215698,-74609,0.800000
1053761,-161937,0.850000
800014,-253747,0.900000
449871,-350143,0.950000
0,-449871,1.000000
1,1,0.000000
68,67,0.050000
926,858,0.100000
4420,3494,0.150000
14633,10213,0.200000
34910,20277,0.250000
73504,38594,0.300000
140551,67047,0.350000
255029,114478,0.400000
439937,184908,0.450000
659175,219238,0.500000
876201,217026,0.550000
1062577,186376,0.600000
1202810,140233,0.650000
1281333,78523,0.700000
1289287,7954,0.750000
1216341,-72946,0.800000
1054734,-161607,0.850000
803156,-251578,0.900000
449941,-353215,0.950000
0,-449941,1.000000
1,1,0.000000
85,84,0.050000
992,907,0.100000
4769,3777,0.150000
14508,9739,0.200000
34948,20440,0.250000
73116,38168,0.300000
140942,67826,0.350000
255266,114324,0.400000
441031,185765,0.450000
658136,217105,0.500000
873407,215271,0.550000
1062577,189170,0.600000
1201766,139189,0.650000
1282405,80639,0.700000
1290883,8478,0.750000
1216075,-74808,0.800000
1054624,-161451,0.850000
799969,-254655,0.900000
450462,-349507,0.950000
0,-450462,1.000000
1,1,0.000000
73,72,0.050000
1013,940,0.100000
4643,3630,0.150000
14621,9978,0.200000
35106,20485,0.250000
73569,38463,0.300000
140114,66545,0.350000
255898,115784,0.400000
439747,183849,0.450000
659356,219609,0.500000
876132,216776,0.550000
1064296,188164,0.600000
1202698,138402,0.650000
1282653,79955,0.700000
1289208,6555,0.750000
1214884,-74324,0.800000
1054656,-160228,0.850000
799839,-254817,0.900000
449818,-350021,0.950000
0,-449818,1.000000
1,1,0.000000
75,74,0.050000
1021,946,0.100000
4608,3587,0.150000
14454,9846,0.200000
34954,20500,0.250000
73190,38236,0.300000
140404,67214,0.350000
254708,114304,0.400000
438153,183445,0.450000
659377,221224,0.500000
874302,214925,0.550000
1062108,187806,0.600000
1202081,139973,0.650000
1281550,79469,0.700000
1289175,7625,0.750000
1216064,-73111,0.800000
1055250,-160814,0.850000
800510,-254740,0.900000
449730,-350780,0.950000
0,-449730,1.000000
1,1,0.000000
68,67,0.050000
962,894,0.100000
4761,3799,0.150000
14309,9548,0.200000
34824,20515,0.250000
73067,38243,0.300000
141153,68086,0.350000
256031,114878,0.400000
439864,183833,0.450000
659119,219255,0.500000
874712,215593,0.550000
1062835,188123,0.600000
1201956,139121,0.650000
1282404,80448,0.700000
1288920,6516,0.750000
1215921,-72999,0.800000
1055069,-160852,0.850000
800774,-254295,0.900000
450427,-350347,0.950000
0,-450427,1.000000
1,1,0.000000
68,67,0.050000
969,901,0.100000
4714,3745,0.150000
14333,9619,0.200000
34802,20469,0.250000
73279,38477,0.300000
140784,67505,0.350000
255146,114362,0.400000
438363,183217,0.450000
658750,220387,0.500000
877203,218453,0.550000
1063820,186617,0.600000
1201998,138178,0.650000
1282230,80232,0.700000
1288937,6707,0.750000
1215774,-73163,0.800000
1055967,-159807,0.850000
800295,-255672,0.900000
450149,-350146,0.950000
0,-450149,1.000000
1,1,0.000000
80,79,0.050000
980,900,0.100000
