components,difference,q
98312,98312,0.000000
98313,1,0.050000
98314,1,0.100000
98314,0,0.150000
98315,1,0.200000
98313,-2,0.250000
98317,4,0.300000
98320,3,0.350000
98320,0,0.400000
98322,2,0.450000
98325,3,0.500000
98330,5,0.550000
98331,1,0.600000
98339,8,0.650000
98351,12,0.700000
98359,8,0.750000
98362,3,0.800000
98388,26,0.850000
98406,18,0.900000
98487,81,0.950000
100000,1513,1.000000
98327,98327,0.000000
98327,0,0.050000
98329,2,0.100000
98330,1,0.150000
98333,3,0.200000
98332,-1,0.250000
98335,3,0.300000
98334,-1,0.350000
98340,6,0.400000
98339,-1,0.450000
98343,4,0.500000
98342,-1,0.550000
98349,7,0.600000
98353,4,0.650000
98359,6,0.700000
98363,4,0.750000
98373,10,0.800000
98393,20,0.850000
98407,14,0.900000
98483,76,0.950000
100000,1517,1.000000
98303,98303,0.000000
98303,0,0.050000
98310,7,0.100000
98314,4,0.150000
98314,0,0.200000
98313,-1,0.250000
98317,4,0.300000
98321,4,0.350000
98336,15,0.400000
98327,-9,0.450000
98335,8,0.500000
98346,11,0.550000
98350,4,0.600000
98350,0,0.650000
98351,1,0.700000
98365,14,0.750000
98375,10,0.800000
98397,22,0.850000
98430,33,0.900000
98501,71,0.950000
100000,1499,1.000000
98289,98289,0.000000
98292,3,0.050000
98297,5,0.100000
98303,6,0.150000
98312,9,0.200000
98307,-5,0.250000
98324,17,0.300000
98322,-2,0.350000
98334,12,0.400000
98330,-4,0.450000
98347,17,0.500000
98351,4,0.550000
98354,3,0.600000
98366,12,0.650000
98382,16,0.700000
98391,9,0.750000
98406,15,0.800000
98429,23,0.850000
98451,22,0.900000
98512,61,0.950000
100000,1488,1.000000
98289,98289,0.000000
98289,0,0.050000
98290,1,0.100000
98296,6,0.150000
98296,0,0.200000
98293,-3,0.250000
98299,6,0.300000
98301,2,0.350000
98298,-3,0.400000
98300,2,0.450000
98304,4,0.500000
98313,9,0.550000
98316,3,0.600000
98309,-7,0.650000
98323,14,0.700000
98344,21,0.750000
98348,4,0.800000
98372,24,0.850000
98404,32,0.900000
98450,46,0.950000
100000,1550,1.000000
98303,98303,0.000000
98304,1,0.050000
