components,difference,q
9572,9572,0.000000
9572,0,0.050000
9576,4,0.100000
9574,-2,0.150000
9575,1,0.200000
9573,-2,0.250000
9577,4,0.300000
9579,2,0.350000
9580,1,0.400000
9577,-3,0.450000
9581,4,0.500000
9589,8,0.550000
9587,-2,0.600000
9589,2,0.650000
9590,1,0.700000
9588,-2,0.750000
9597,9,0.800000
9611,14,0.850000
9629,18,0.900000
9668,39,0.950000
10000,332,1.000000
9521,9521,0.000000
9521,0,0.050000
9521,0,0.100000
9525,4,0.150000
9522,-3,0.200000
9525,3,0.250000
9522,-3,0.300000
9524,2,0.350000
9525,1,0.400000
9530,5,0.450000
9529,-1,0.500000
9531,2,0.550000
9534,3,0.600000
9536,2,0.650000
9538,2,0.700000
9541,3,0.750000
9546,5,0.800000
9558,12,0.850000
9570,12,0.900000
9615,45,0.950000
10000,385,1.000000
9553,9553,0.000000
9556,3,0.050000
9556,0,0.100000
9556,0,0.150000
9556,0,0.200000
9559,3,0.250000
9561,2,0.300000
9564,3,0.350000
9565,1,0.400000
9567,2,0.450000
9569,2,0.500000
9579,10,0.550000
9579,0,0.600000
9577,-2,0.650000
9582,5,0.700000
9591,9,0.750000
9592,1,0.800000
9600,8,0.850000
9626,26,0.900000
9663,37,0.950000
10000,337,1.000000
9529,9529,0.000000
9531,2,0.050000
9533,2,0.100000
9533,0,0.150000
9538,5,0.200000
9544,6,0.250000
9537,-7,0.300000
9540,3,0.350000
9543,3,0.400000
9548,5,0.450000
9547,-1,0.500000
9555,8,0.550000
9548,-7,0.600000
9561,13,0.650000
9561,0,0.700000
9568,7,0.750000
9572,4,0.800000
9593,21,0.850000
9610,17,0.900000
9648,38,0.950000
10000,352,1.000000
9535,9535,0.000000
9536,1,0.050000
9536,0,0.100000
9539,3,0.150000
9537,-2,0.200000
9538,1,0.250000
9540,2,0.300000
9541,1,0.350000
9545,4,0.400000
9543,-2,0.450000
9544,1,0.500000
9552,8,0.550000
9553,1,0.600000
9559,6,0.650000
9563,4,0.700000
9562,-1,0.750000
9569,7,0.800000
9572,3,0.850000
9593,21,0.900000
9643,50,0.950000
10000,357,1.000000
9573,9573,0.000000
9573,0,0.050000
9574,1,0.100000
9575,1,0.150000
9575,0,0.200000
9576,1,0.250000
9578,2,0.300000
9576,-2,0.350000
9577,1,0.400000
9580,3,0.450000
9581,1,0.500000
9587,6,0.550000
9583,-4,0.600000
9588,5,0.650000
9589,1,0.700000
9596,7,0.750000
9607,11,0.800000
9612,5,0.850000
9627,15,0.900000
9667,40,0.950000
10000,333,1.000000
9521,9521,0.000000
9522,1,0.050000
9522,0,0.100000
9526,4,0.150000
9527,1,0.200000
9523,-4,0.250000
9525,2,0.300000
9529,4,0.350000
9530,1,0.400000
9535,5,0.450000
9539,4,0.500000
9537,-2,0.550000
9540,3,0.600000
9545,5,0.650000
9554,9,0.700000
9555,1,0.750000
9564,9,0.800000
9569,5,0.850000
9587,18,0.900000
9617,30,0.950000
10000,383,1.000000
9519,9519,0.000000
9520,1,0.050000
9520,0,0.100000
9520,0,0.150000
9519,-1,0.200000
9524,5,0.250000
9522,-2,0.300000
9523,1,0.350000
9526,3,0.400000
9523,-3,0.450000
9525,2,0.500000
9529,4,0.550000
9527,-2,0.600000
9533,6,0.650000
9533,0,0.700000
9540,7,0.750000
9550,10,0.800000
9559,9,0.850000
9577,18,0.900000
9624,47,0.950000
10000,376,1.000000
9537,9537,0.000000
9537,0,0.050000
9539,2,0.100000
9539,0,0.150000
9542,3,0.200000
9542,0,0.250000
9544,2,0.300000
9540,-4,0.350000
9546,6,0.400000
9543,-3,0.450000
9545,2,0.500000
9549,4,0.550000
9551,2,0.600000
9551,0,0.650000
9555,4,0.700000
9559,4,0.750000
9561,2,0.800000
9574,13,0.850000
9586,12,0.900000
9613,27,0.950000
10000,387,1.000000
9508,9508,0.000000
9509,1,0.050000
9510,1,0.100000
9508,-2,0.150000
9508,0,0.200000
9514,6,0.250000
9513,-1,0.300000
9517,4,0.350000
9517,0,0.400000
9518,1,0.450000
9522,4,0.500000
9524,2,0.550000
9525,1,0.600000
9530,5,0.650000
9525,-5,0.700000
9536,11,0.750000
9546,10,0.800000
9546,0,0.850000
9569,23,0.900000
9616,47,0.950000
10000,384,1.000000
9576,9576,0.000000
9576,0,0.050000
9576,0,0.100000
9576,0,0.150000
9578,2,0.200000
9580,2,0.250000
9578,-2,0.300000
9580,2,0.350000
9583,3,0.400000
9581,-2,0.450000
9585,4,0.500000
9584,-1,0.550000
9587,3,0.600000
9592,5,0.650000
9596,4,0.700000
9595,-1,0.750000
9601,6,0.800000
9610,9,0.850000
9620,10,0.900000
9653,33,0.950000
10000,347,1.000000
9531,9531,0.000000
9531,0,0.050000
9532,1,0.100000
9535,3,0.150000
9536,1,0.200000
9539,3,0.250000
9543,4,0.300000
9539,-4,0.350000
9542,3,0.400000
9546,4,0.450000
9547,1,0.500000
9554,7,0.550000
9553,-1,0.600000
9557,4,0.650000
9571,14,0.700000
9570,-1,0.750000
9570,0,0.800000
9585,15,0.850000
9602,17,0.900000
9633,31,0.950000
10000,367,1.000000
9539,9539,0.000000
9540,1,0.050000
9539,-1,0.100000
9539,0,0.150000
9539,0,0.200000
9539,0,0.250000
9541,2,0.300000
9543,2,0.350000
9543,0,0.400000
9549,6,0.450000
9551,2,0.500000
9555,4,0.550000
9551,-4,0.600000
9561,10,0.650000
9561,0,0.700000
9568,7,0.750000
9564,-4,0.800000
9579,15,0.850000
9595,16,0.900000
9633,38,0.950000
10000,367,1.000000
9489,9489,0.000000
9490,1,0.050000
9491,1,0.100000
9492,1,0.150000
9493,1,0.200000
9490,-3,0.250000
9495,5,0.300000
9495,0,0.350000
9497,2,0.400000
9497,0,0.450000
9500,3,0.500000
9500,0,0.550000
9503,3,0.600000
9511,8,0.650000
9516,5,0.700000
9521,5,0.750000
9534,13,0.800000
9540,6,0.850000
9563,23,0.900000
9595,32,0.950000
10000,405,1.000000
9501,9501,0.000000
9502,1,0.050000
9506,4,0.100000
9505,-1,0.150000
9511,6,0.200000
9503,-8,0.250000
9514,11,0.300000
9515,1,0.350000
9516,1,0.400000
9521,5,0.450000
9522,1,0.500000
9525,3,0.550000
9527,2,0.600000
9532,5,0.650000
9534,2,0.700000
9544,10,0.750000
9550,6,0.800000
9553,3,0.850000
9568,15,0.900000
9608,40,0.950000
10000,392,1.000000
9558,9558,0.000000
9558,0,0.050000
9558,0,0.100000
9561,3,0.150000
9560,-1,0.200000
9559,-1,0.250000
9560,1,0.300000
9561,1,0.350000
9559,-2,0.400000
9562,3,0.450000
9564,2,0.500000
9568,4,0.550000
9565,-3,0.600000
9571,6,0.650000
9576,5,0.700000
9579,3,0.750000
9584,5,0.800000
9596,12,0.850000
9607,11,0.900000
9644,37,0.950000
10000,356,1.000000
9563,9563,0.000000
9563,0,0.050000
9563,0,0.100000
9566,3,0.150000
9564,-2,0.200000
9568,4,0.250000
9566,-2,0.300000
9566,0,0.350000
9567,1,0.400000
9570,3,0.450000
9578,8,0.500000
9580,2,0.550000
9577,-3,0.600000
9583,6,0.650000
9585,2,0.700000
9588,3,0.750000
9596,8,0.800000
9610,14,0.850000
9619,9,0.900000
9657,38,0.950000
10000,343,1.000000
9470,9470,0.000000
9470,0,0.050000
9471,1,0.100000
9472,1,0.150000
9472,0,0.200000
9475,3,0.250000
9474,-1,0.300000
9477,3,0.350000
9477,0,0.400000
9479,2,0.450000
9484,5,0.500000
9479,-5,0.550000
9491,12,0.600000
9481,-10,0.650000
9486,5,0.700000
9496,10,0.750000
9497,1,0.800000
9511,14,0.850000
9527,16,0.900000
9565,38,0.950000
