components,difference,q
5598,5598,0.000000
5600,2,0.050000
5606,6,0.100000
5611,5,0.150000
5618,7,0.200000
5618,0,0.250000
5619,1,0.300000
5635,16,0.350000
5634,-1,0.400000
5626,-8,0.450000
5647,21,0.500000
5647,0,0.550000
5667,20,0.600000
5681,14,0.650000
5689,8,0.700000
5722,33,0.750000
5731,9,0.800000
5755,24,0.850000
5815,60,0.900000
5969,154,0.950000
10000,4031,1.000000
5700,5700,0.000000
5702,2,0.050000
5704,2,0.100000
5710,6,0.150000
5711,1,0.200000
5721,10,0.250000
5728,7,0.300000
5727,-1,0.350000
5729,2,0.400000
5742,13,0.450000
5755,13,0.500000
5757,2,0.550000
5756,-1,0.600000
5767,11,0.650000
5785,18,0.700000
5795,10,0.750000
5813,18,0.800000
5838,25,0.850000
5892,54,0.900000
5995,103,0.950000
10000,4005,1.000000
5701,5701,0.000000
5703,2,0.050000
5707,4,0.100000
5708,1,0.150000
5710,2,0.200000
5716,6,0.250000
5721,5,0.300000
5725,4,0.350000
5725,0,0.400000
5732,7,0.450000
5742,10,0.500000
5742,0,0.550000
5753,11,0.600000
5767,14,0.650000
5774,7,0.700000
5789,15,0.750000
5828,39,0.800000
5868,40,0.850000
5905,37,0.900000
6045,140,0.950000
10000,3955,1.000000
5809,5809,0.000000
5813,4,0.050000
5814,1,0.100000
5816,2,0.150000
5816,0,0.200000
5818,2,0.250000
5824,6,0.300000
5824,0,0.350000
5830,6,0.400000
5831,1,0.450000
5843,12,0.500000
5840,-3,0.550000
5842,2,0.600000
5853,11,0.650000
5865,12,0.700000
5879,14,0.750000
5887,8,0.800000
5906,19,0.850000
5957,51,0.900000
6035,78,0.950000
10000,3965,1.000000
5667,5667,0.000000
5670,3,0.050000
5669,-1,0.100000
5676,7,0.150000
5682,6,0.200000
5688,6,0.250000
5690,2,0.300000
5692,2,0.350000
5689,-3,0.400000
5705,16,0.450000
5697,-8,0.500000
5716,19,0.550000
5725,9,0.600000
5744,19,0.650000
5749,5,0.700000
5744,-5,0.750000
5778,34,0.800000
5795,17,0.850000
5851,56,0.900000
5945,94,0.950000
10000,4055,1.000000
5718,5718,0.000000
5719,1,0.050000
5719,0,0.100000
5722,3,0.150000
5725,3,0.200000
5723,-2,0.250000
5728,5,0.300000
5727,-1,0.350000
5733,6,0.400000
5735,2,0.450000
5739,4,0.500000
5748,9,0.550000
5753,5,0.600000
5759,6,0.650000
5770,11,0.700000
5785,15,0.750000
5802,17,0.800000
5824,22,0.850000
5862,38,0.900000
5949,87,0.950000
10000,4051,1.000000
5671,5671,0.000000
5671,0,0.050000
5673,2,0.100000
5675,2,0.150000
5677,2,0.200000
5675,-2,0.250000
5675,0,0.300000
5677,2,0.350000
5688,11,0.400000
5687,-1,0.450000
5685,-2,0.500000
5694,9,0.550000
5702,8,0.600000
5713,11,0.650000
5714,1,0.700000
5719,5,0.750000
5734,15,0.800000
5756,22,0.850000
5815,59,0.900000
5926,111,0.950000
10000,4074,1.000000
5695,5695,0.000000
5697,2,0.050000
5700,3,0.100000
5705,5,0.150000
5705,0,0.200000
5710,5,0.250000
5716,6,0.300000
5724,8,0.350000
5723,-1,0.400000
5719,-4,0.450000
5732,13,0.500000
5738,6,0.550000
5730,-8,0.600000
5738,8,0.650000
5741,3,0.700000
5761,20,0.750000
5770,9,0.800000
5790,20,0.850000
5842,52,0.900000
5935,93,0.950000
10000,4065,1.000000
5598,5598,0.000000
5600,2,0.050000
5600,0,0.100000
5603,3,0.150000
5606,3,0.200000
5608,2,0.250000
5613,5,0.300000
5615,2,0.350000
5613,-2,0.400000
5614,1,0.450000
5626,12,0.500000
5636,10,0.550000
5633,-3,0.600000
5648,15,0.650000
