components,difference,q
1,1,0.000000
225,224,0.050000
1359,1134,0.100000
5780,4421,0.150000
17891,12111,0.200000
44634,26743,0.250000
95579,50945,0.300000
186286,90707,0.350000
340056,153770,0.400000
587739,247683,0.450000
984024,396285,0.500000
1587578,603554,0.550000
2340458,752880,0.600000
3186801,846343,0.650000
4096960,910159,0.700000
5045687,948727,0.750000
6016709,971022,0.800000
7006616,989907,0.850000
7999817,993201,0.900000
8999503,999686,0.950000
9998244,998741,1.000000
1,1,0.000000
190,189,0.050000
1393,1203,0.100000
5684,4291,0.150000
17680,11996,0.200000
44299,26619,0.250000
95592,51293,0.300000
186817,91225,0.350000
338809,151992,0.400000
587646,248837,0.450000
985135,397489,0.500000
1587968,602833,0.550000
2336961,748993,0.600000
3189725,852764,0.650000
4094941,905216,0.700000
5043838,948897,0.750000
6017960,974122,0.800000
7002445,984485,0.850000
8000324,997879,0.900000
8998329,998005,0.950000
9998244,999915,1.000000
1,1,0.000000
217,216,0.050000
1374,1157,0.100000
5884,4510,0.150000
17851,11967,0.200000
44798,26947,0.250000
95647,50849,0.300000
186521,90874,0.350000
338493,151972,0.400000
584981,246488,0.450000
983933,398952,0.500000
1585432,601499,0.550000
2339118,753686,0.600000
3190204,851086,0.650000
4096230,906026,0.700000
5044477,948247,0.750000
6017215,972738,0.800000
7003987,986772,0.850000
8000949,996962,0.900000
8997589,996640,0.950000
9998244,1000655,1.000000
1,1,0.000000
231,230,0.050000
1324,1093,0.100000
5601,4277,0.150000
17744,12143,0.200000
44341,26597,0.250000
96196,51855,0.300000
186545,90349,0.350000
339255,152710,0.400000
586938,247683,0.450000
983221,396283,0.500000
1589548,606327,0.550000
2337891,748343,0.600000
3186462,848571,0.650000
4092990,906528,0.700000
5043533,950543,0.750000
6019039,975506,0.800000
7005729,986690,0.850000
8000535,994806,0.900000
8998483,997948,0.950000
9998244,999761,1.000000
1,1,0.000000
213,212,0.050000
1386,1173,0.100000
5608,4222,0.150000
18030,12422,0.200000
44435,26405,0.250000
95293,50858,0.300000
187279,91986,0.350000
