components,difference,q
95347,95347,0.000000
95351,4,0.050000
95352,1,0.100000
95363,11,0.150000
95361,-2,0.200000
95364,3,0.250000
95368,4,0.300000
95380,12,0.350000
95385,5,0.400000
95401,16,0.450000
95385,-16,0.500000
95412,27,0.550000
95417,5,0.600000
95419,2,0.650000
95451,32,0.700000
95450,-1,0.750000
95481,31,0.800000
95514,33,0.850000
95588,74,0.900000
95697,109,0.950000
100000,4303,1.000000
95101,95101,0.000000
95103,2,0.050000
95105,2,0.100000
95105,0,0.150000
95120,15,0.200000
95116,-4,0.250000
95131,15,0.300000
95132,1,0.350000
95135,3,0.400000
95142,7,0.450000
95142,0,0.500000
95151,9,0.550000
95156,5,0.600000
95174,18,0.650000
95192,18,0.700000
95201,9,0.750000
95231,30,0.800000
95252,21,0.850000
95304,52,0.900000
95419,115,0.950000
100000,4581,1.000000
95102,95102,0.000000
95105,3,0.050000
95109,4,0.100000
95111,2,0.150000
95119,8,0.200000
95119,0,0.250000
95118,-1,0.300000
95119,1,0.350000
95136,17,0.400000
95139,3,0.450000
95143,4,0.500000
95151,8,0.550000
95158,7,0.600000
95158,0,0.650000
95175,17,0.700000
95187,12,0.750000
95227,40,0.800000
95250,23,0.850000
95278,28,0.900000
95409,131,0.950000
100000,4591,1.000000
95177,95177,0.000000
95179,2,0.050000
95179,0,0.100000
95179,0,0.150000
95185,6,0.200000
95192,7,0.250000
95195,3,0.300000
95194,-1,0.350000
95201,7,0.400000
95203,2,0.450000
95202,-1,0.500000
95222,20,0.550000
95218,-4,0.600000
95231,13,0.650000
95253,22,0.700000
95274,21,0.750000
95320,46,0.800000
95342,22,0.850000
95407,65,0.900000
95525,118,0.950000
100000,4475,1.000000
95120,95120,0.000000
95125,5,0.050000
95126,1,0.100000
95127,1,0.150000
95140,13,0.200000
95140,0,0.250000
95141,1,0.300000
95153,12,0.350000
95158,5,0.400000
95168,10,0.450000
95180,12,0.500000
95177,-3,0.550000
95197,20,0.600000
95198,1,0.650000
95220,22,0.700000
95227,7,0.750000
95261,34,0.800000
95266,5,0.850000
95321,55,0.900000
95437,116,0.950000
100000,4563,1.000000
95089,95089,0.000000
95094,5,0.050000
95093,-1,0.100000
95097,4,0.150000
95098,1,0.200000
95111,13,0.250000
95115,4,0.300000
95121,6,0.350000
95121,0,0.400000
95136,15,0.450000
95155,19,0.500000
95145,-10,0.550000
95161,16,0.600000
95170,9,0.650000
95211,41,0.700000
95215,4,0.750000
95264,49,0.800000
95299,35,0.850000
95371,72,0.900000
95499,128,0.950000
100000,4501,1.000000
95235,95235,0.000000
95235,0,0.050000
95239,4,0.100000
95245,6,0.150000
95240,-5,0.200000
95247,7,0.250000
95253,6,0.300000
95250,-3,0.350000
95254,4,0.400000
95262,8,0.450000
95274,12,0.500000
95273,-1,0.550000
95297,24,0.600000
95290,-7,0.650000
95319,29,0.700000
95341,22,0.750000
95350,9,0.800000
95398,48,0.850000
95436,38,0.900000
95557,121,0.950000
100000,4443,1.000000
95310,95310,0.000000
95314,4,0.050000
95315,1,0.100000
95325,10,0.150000
95326,1,0.200000
95330,4,0.250000
95339,9,0.300000
95349,10,0.350000
95343,-6,0.400000
95345,2,0.450000
95357,12,0.500000
95357,0,0.550000
95367,10,0.600000
95373,6,0.650000
95383,10,0.700000
95391,8,0.750000
95416,25,0.800000
95445,29,0.850000
95483,38,0.900000
95601,118,0.950000
100000,4399,1.000000
95127,95127,0.000000
95128,1,0.050000
95128,0,0.100000
95129,1,0.150000
95134,5,0.200000
95130,-4,0.250000
95137,7,0.300000
95139,2,0.350000
95141,2,0.400000
95143,2,0.450000
95140,-3,0.500000
95153,13,0.550000
95159,6,0.600000
95159,0,0.650000
95180,21,0.700000
95201,21,0.750000
95213,12,0.800000
95234,21,0.850000
95298,64,0.900000
95415,117,0.950000
100000,4585,1.000000
95070,95070,0.000000
95072,2,0.050000
95073,1,0.100000
95073,0,0.150000
95075,2,0.200000
95077,2,0.250000
95079,2,0.300000
95084,5,0.350000
95083,-1,0.400000
95089,6,0.450000
95099,10,0.500000
95092,-7,0.550000
95101,9,0.600000
95120,19,0.650000
95126,6,0.700000
95142,16,0.750000
95162,20,0.800000
95190,28,0.850000
95239,49,0.900000
95348,109,0.950000
100000,4652,1.000000
95170,95170,0.000000
95172,2,0.050000
95171,-1,0.100000
95173,2,0.150000
95178,5,0.200000
95183,5,0.250000
95181,-2,0.300000
95192,11,0.350000
95189,-3,0.400000
95197,8,0.450000
95198,1,0.500000
95202,4,0.550000
95210,8,0.600000
95222,12,0.650000
95237,15,0.700000
95238,1,0.750000
95262,24,0.800000
95289,27,0.850000
95328,39,0.900000
95464,136,0.950000
100000,4536,1.000000
95320,95320,0.000000
95320,0,0.050000
95322,2,0.100000
95322,0,0.150000
95325,3,0.200000
95330,5,0.250000
95326,-4,0.300000
95333,7,0.350000
95332,-1,0.400000
95342,10,0.450000
95339,-3,0.500000
95343,4,0.550000
95351,8,0.600000
95345,-6,0.650000
95360,15,0.700000
95373,13,0.750000
95386,13,0.800000
95420,34,0.850000
95463,43,0.900000
95585,122,0.950000
100000,4415,1.000000
95173,95173,0.000000
95175,2,0.050000
95173,-2,0.100000
95174,1,0.150000
95178,4,0.200000
95181,3,0.250000
95178,-3,0.300000
95183,5,0.350000
95182,-1,0.400000
95184,2,0.450000
95189,5,0.500000
95200,11,0.550000
95199,-1,0.600000
95213,14,0.650000
95218,5,0.700000
95238,20,0.750000
95255,17,0.800000
95291,36,0.850000
95322,31,0.900000
95468,146,0.950000
100000,4532,1.000000
95119,95119,0.000000
95120,1,0.050000
95120,0,0.100000
95121,1,0.150000
95122,1,0.200000
95126,4,0.250000
95128,2,0.300000
95130,2,0.350000
95135,5,0.400000
95140,5,0.450000
95148,8,0.500000
95150,2,0.550000
95160,10,0.600000
95163,3,0.650000
95190,27,0.700000
95192,2,0.750000
95229,37,0.800000
95253,24,0.850000
95327,74,0.900000
95426,99,0.950000
100000,4574,1.000000
95267,95267,0.000000
95267,0,0.050000
95270,3,0.100000
95271,1,0.150000
95277,6,0.200000
95272,-5,0.250000
95276,4,0.300000
95275,-1,0.350000
95279,4,0.400000
95290,11,0.450000
95286,-4,0.500000
95288,2,0.550000
95296,8,0.600000
95299,3,0.650000
95320,21,0.700000
95326,6,0.750000
95343,17,0.800000
95366,23,0.850000
95420,54,0.900000
95533,113,0.950000
100000,4467,1.000000
95170,95170,0.000000
95173,3,0.050000
95176,3,0.100000
95175,-1,0.150000
95176,1,0.200000
95182,6,0.250000
95192,10,0.300000
95190,-2,0.350000
95200,10,0.400000
95198,-2,0.450000
95199,1,0.500000
95211,12,0.550000
95214,3,0.600000
95221,7,0.650000
95238,17,0.700000
95257,19,0.750000
95276,19,0.800000
95303,27,0.850000
95353,50,0.900000
95466,113,0.950000
100000,4534,1.000000
95248,95248,0.000000
95251,3,0.050000
95257,6,0.100000
95264,7,0.150000
95261,-3,0.200000
95276,15,0.250000
95279,3,0.300000
95279,0,0.350000
95282,3,0.400000
95289,7,0.450000
95298,9,0.500000
95313,15,0.550000
95319,6,0.600000
95304,-15,0.650000
95330,26,0.700000
95335,5,0.750000
95352,17,0.800000
95385,33,0.850000
95424,39,0.900000
95541,117,0.950000
100000,4459,1.000000
95222,95222,0.000000
95223,1,0.050000
95230,7,0.100000
95228,-2,0.150000
95231,3,0.200000
95237,6,0.250000
95244,7,0.300000
95242,-2,0.350000
95249,7,0.400000
95258,9,0.450000
95266,8,0.500000
95271,5,0.550000
95279,8,0.600000
95288,9,0.650000
95305,17,0.700000
95313,8,0.750000
95348,35,0.800000
95374,26,0.850000
95425,51,0.900000
95551,126,0.950000
100000,4449,1.000000
95251,95251,0.000000
95252,1,0.050000
95251,-1,0.100000
95252,1,0.150000
95254,2,0.200000
95254,0,0.250000
95259,5,0.300000
95263,4,0.350000
95259,-4,0.400000
95268,9,0.450000
95268,0,0.500000
95276,8,0.550000
95287,11,0.600000
95296,9,0.650000
95307,11,0.700000
95318,11,0.750000
95356,38,0.800000
95372,16,0.850000
95438,66,0.900000
95545,107,0.950000
100000,4455,1.000000
95029,95029,0.000000
95030,1,0.050000
95035,5,0.100000
95039,4,0.150000
95045,6,0.200000
95051,6,0.250000
95054,3,0.300000
95055,1,0.350000
95056,1,0.400000
95069,13,0.450000
95075,6,0.500000
95087,12,0.550000
95096,9,0.600000
95087,-9,0.650000
95096,9,0.700000
95121,25,0.750000
95163,42,0.800000
95176,13,0.850000
95245,69,0.900000
95343,98,0.950000
100000,4657,1.000000
95164,95164,0.000000
95164,0,0.050000
95167,3,0.100000
95172,5,0.150000
95174,2,0.200000
95177,3,0.250000
95182,5,0.300000
95177,-5,0.350000
95182,5,0.400000
95190,8,0.450000
95186,-4,0.500000
95195,9,0.550000
95197,2,0.600000
95212,15,0.650000
95217,5,0.700000
95226,9,0.750000
95245,19,0.800000
95273,28,0.850000
95309,36,0.900000
95427,118,0.950000
100000,4573,1.000000
95037,95037,0.000000
95037,0,0.050000
95040,3,0.100000
95046,6,0.150000
95046,0,0.200000
95046,0,0.250000
95057,11,0.300000
95063,6,0.350000
95068,5,0.400000
95068,0,0.450000
95067,-1,0.500000
95083,16,0.550000
95096,13,0.600000
95107,11,0.650000
95109,2,0.700000
95134,25,0.750000
95145,11,0.800000
