components,difference,q
6718,6718,0.000000
6725,7,0.050000
6726,1,0.100000
6724,-2,0.150000
6726,2,0.200000
6734,8,0.250000
6732,-2,0.300000
6737,5,0.350000
6741,4,0.400000
6746,5,0.450000
6756,10,0.500000
6769,13,0.550000
6767,-2,0.600000
6763,-4,0.650000
6792,29,0.700000
6789,-3,0.750000
6815,26,0.800000
6838,23,0.850000
6878,40,0.900000
6955,77,0.950000
10000,3045,1.000000
6778,6778,0.000000
6780,2,0.050000
6779,-1,0.100000
6784,5,0.150000
6790,6,0.200000
6786,-4,0.250000
6786,0,0.300000
6797,11,0.350000
6796,-1,0.400000
6794,-2,0.450000
6798,4,0.500000
6795,-3,0.550000
6808,13,0.600000
6819,11,0.650000
6816,-3,0.700000
6841,25,0.750000
6852,11,0.800000
6866,14,0.850000
6921,55,0.900000
7020,99,0.950000
10000,2980,1.000000
6565,6565,0.000000
6568,3,0.050000
6575,7,0.100000
6589,14,0.150000
6593,4,0.200000
6591,-2,0.250000
6608,17,0.300000
6621,13,0.350000
6635,14,0.400000
6643,8,0.450000
6641,-2,0.500000
6651,10,0.550000
6667,16,0.600000
6671,4,0.650000
6683,12,0.700000
6716,33,0.750000
6733,17,0.800000
6760,27,0.850000
6820,60,0.900000
6930,110,0.950000
10000,3070,1.000000
6702,6702,0.000000
6703,1,0.050000
6704,1,0.100000
6703,-1,0.150000
6706,3,0.200000
6706,0,0.250000
6704,-2,0.300000
6710,6,0.350000
6709,-1,0.400000
6714,5,0.450000
6712,-2,0.500000
6716,4,0.550000
6717,1,0.600000
6725,8,0.650000
6733,8,0.700000
6739,6,0.750000
6751,12,0.800000
6773,22,0.850000
6798,25,0.900000
6889,91,0.950000
10000,3111,1.000000
6729,6729,0.000000
6730,1,0.050000
6730,0,0.100000
6729,-1,0.150000
6735,6,0.200000
6733,-2,0.250000
6741,8,0.300000
6740,-1,0.350000
6738,-2,0.400000
6741,3,0.450000
6747,6,0.500000
6763,16,0.550000
6765,2,0.600000
6769,4,0.650000
6776,7,0.700000
6786,10,0.750000
6794,8,0.800000
6824,30,0.850000
6856,32,0.900000
6941,85,0.950000
10000,3059,1.000000
6813,6813,0.000000
6815,2,0.050000
6815,0,0.100000
6819,4,0.150000
6816,-3,0.200000
6824,8,0.250000
6824,0,0.300000
6826,2,0.350000
6823,-3,0.400000
6833,10,0.450000
6842,9,0.500000
6834,-8,0.550000
6843,9,0.600000
6853,10,0.650000
6858,5,0.700000
6874,16,0.750000
6894,20,0.800000
6923,29,0.850000
6983,60,0.900000
7061,78,0.950000
10000,2939,1.000000
6707,6707,0.000000
6707,0,0.050000
6709,2,0.100000
6714,5,0.150000
6710,-4,0.200000
6714,4,0.250000
6719,5,0.300000
6719,0,0.350000
6721,2,0.400000
6732,11,0.450000
6738,6,0.500000
6738,0,0.550000
6744,6,0.600000
6758,14,0.650000
6773,15,0.700000
6779,6,0.750000
6822,43,0.800000
6851,29,0.850000
6909,58,0.900000
6996,87,0.950000
10000,3004,1.000000
6730,6730,0.000000
6731,1,0.050000
6733,2,0.100000
6735,2,0.150000
6733,-2,0.200000
6739,6,0.250000
6742,3,0.300000
6740,-2,0.350000
6755,15,0.400000
6753,-2,0.450000
6763,10,0.500000
6761,-2,0.550000
6772,11,0.600000
6782,10,0.650000
6795,13,0.700000
6805,10,0.750000
6823,18,0.800000
6864,41,0.850000
6911,47,0.900000
7009,98,0.950000
10000,2991,1.000000
6796,6796,0.000000
6798,2,0.050000
6801,3,0.100000
6804,3,0.150000
6806,2,0.200000
6813,7,0.250000
6817,4,0.300000
6818,1,0.350000
6826,8,0.400000
6825,-1,0.450000
6840,15,0.500000
6844,4,0.550000
6854,10,0.600000
6849,-5,0.650000
6879,30,0.700000
6881,2,0.750000
6899,18,0.800000
6931,32,0.850000
6972,41,0.900000
7051,79,0.950000
10000,2949,1.000000
6751,6751,0.000000
6751,0,0.050000
6753,2,0.100000
6754,1,0.150000
6754,0,0.200000
6752,-2,0.250000
6757,5,0.300000
6756,-1,0.350000
6758,2,0.400000
6763,5,0.450000
6761,-2,0.500000
6770,9,0.550000
6772,2,0.600000
6779,7,0.650000
6771,-8,0.700000
6797,26,0.750000
6813,16,0.800000
6825,12,0.850000
6859,34,0.900000
6955,96,0.950000
10000,3045,1.000000
6812,6812,0.000000
6812,0,0.050000
6814,2,0.100000
6818,4,0.150000
6824,6,0.200000
6830,6,0.250000
6837,7,0.300000
6840,3,0.350000
6842,2,0.400000
6855,13,0.450000
6854,-1,0.500000
6868,14,0.550000
6874,6,0.600000
6885,11,0.650000
6905,20,0.700000
6912,7,0.750000
6924,12,0.800000
6964,40,0.850000
7013,49,0.900000
7134,121,0.950000
10000,2866,1.000000
6789,6789,0.000000
6789,0,0.050000
6796,7,0.100000
6796,0,0.150000
6791,-5,0.200000
6805,14,0.250000
6800,-5,0.300000
6802,2,0.350000
6809,7,0.400000
6811,2,0.450000
6808,-3,0.500000
6818,10,0.550000
6828,10,0.600000
6830,2,0.650000
6838,8,0.700000
6845,7,0.750000
6860,15,0.800000
6873,13,0.850000
6926,53,0.900000
7001,75,0.950000
10000,2999,1.000000
6828,6828,0.000000
6828,0,0.050000
6831,3,0.100000
6831,0,0.150000
6834,3,0.200000
6836,2,0.250000
6832,-4,0.300000
6836,4,0.350000
6841,5,0.400000
6843,2,0.450000
6856,13,0.500000
6853,-3,0.550000
6859,6,0.600000
6862,3,0.650000
6862,0,0.700000
6872,10,0.750000
6895,23,0.800000
6912,17,0.850000
