components,difference,q
4516,4516,0.000000
4516,0,0.050000
4520,4,0.100000
4524,4,0.150000
4525,1,0.200000
4525,0,0.250000
4529,4,0.300000
4539,10,0.350000
4532,-7,0.400000
4545,13,0.450000
4555,10,0.500000
4553,-2,0.550000
4577,24,0.600000
4576,-1,0.650000
4586,10,0.700000
4607,21,0.750000
4627,20,0.800000
4667,40,0.850000
4710,43,0.900000
4845,135,0.950000
10000,5155,1.000000
4502,4502,0.000000
4504,2,0.050000
4509,5,0.100000
4509,0,0.150000
4522,13,0.200000
4520,-2,0.250000
4529,9,0.300000
4529,0,0.350000
4541,12,0.400000
4533,-8,0.450000
4554,21,0.500000
4548,-6,0.550000
4553,5,0.600000
4559,6,0.650000
4570,11,0.700000
4596,26,0.750000
4619,23,0.800000
4652,33,0.850000
4692,40,0.900000
4815,123,0.950000
10000,5185,1.000000
4347,4347,0.000000
4347,0,0.050000
4349,2,0.100000
4354,5,0.150000
4356,2,0.200000
4358,2,0.250000
4361,3,0.300000
4359,-2,0.350000
4367,8,0.400000
4385,18,0.450000
4379,-6,0.500000
4381,2,0.550000
4398,17,0.600000
4402,4,0.650000
4412,10,0.700000
4434,22,0.750000
4449,15,0.800000
4474,25,0.850000
4515,41,0.900000
4655,140,0.950000
10000,5345,1.000000
4407,4407,0.000000
4410,3,0.050000
4410,0,0.100000
4410,0,0.150000
4409,-1,0.200000
4409,0,0.250000
4417,8,0.300000
4420,3,0.350000
4424,4,0.400000
4425,1,0.450000
4429,4,0.500000
4430,1,0.550000
4433,3,0.600000
4444,11,0.650000
4446,2,0.700000
4462,16,0.750000
4474,12,0.800000
4513,39,0.850000
4558,45,0.900000
4648,90,0.950000
10000,5352,1.000000
4488,4488,0.000000
4490,2,0.050000
4492,2,0.100000
4490,-2,0.150000
4494,4,0.200000
4490,-4,0.250000
4495,5,0.300000
4500,5,0.350000
4502,2,0.400000
4506,4,0.450000
4502,-4,0.500000
4513,11,0.550000
4525,12,0.600000
4526,1,0.650000
4530,4,0.700000
4547,17,0.750000
4568,21,0.800000
4592,24,0.850000
