components,difference,q
7258,7258,0.000000
7259,1,0.050000
7259,0,0.100000
7260,1,0.150000
7266,6,0.200000
7260,-6,0.250000
7261,1,0.300000
7271,10,0.350000
7270,-1,0.400000
7270,0,0.450000
7279,9,0.500000
7286,7,0.550000
7291,5,0.600000
7313,22,0.650000
7313,0,0.700000
7335,22,0.750000
7343,8,0.800000
7369,26,0.850000
7409,40,0.900000
7505,96,0.950000
10000,2495,1.000000
7258,7258,0.000000
7258,0,0.050000
7258,0,0.100000
7259,1,0.150000
7260,1,0.200000
7261,1,0.250000
7261,0,0.300000
7266,5,0.350000
7265,-1,0.400000
7263,-2,0.450000
7272,9,0.500000
7269,-3,0.550000
7279,10,0.600000
7280,1,0.650000
7289,9,0.700000
7295,6,0.750000
7316,21,0.800000
7336,20,0.850000
7376,40,0.900000
7476,100,0.950000
10000,2524,1.000000
7271,7271,0.000000
7274,3,0.050000
7272,-2,0.100000
7276,4,0.150000
7279,3,0.200000
7284,5,0.250000
7280,-4,0.300000
7284,4,0.350000
7288,4,0.400000
7293,5,0.450000
7294,1,0.500000
7296,2,0.550000
7309,13,0.600000
7297,-12,0.650000
7317,20,0.700000
7335,18,0.750000
7349,14,0.800000
7358,9,0.850000
7403,45,0.900000
7498,95,0.950000
10000,2502,1.000000
7182,7182,0.000000
7182,0,0.050000
7184,2,0.100000
7186,2,0.150000
7187,1,0.200000
7190,3,0.250000
7199,9,0.300000
7202,3,0.350000
7205,3,0.400000
7197,-8,0.450000
7205,8,0.500000
7205,0,0.550000
7227,22,0.600000
7225,-2,0.650000
7238,13,0.700000
7261,23,0.750000
7282,21,0.800000
7315,33,0.850000
7347,32,0.900000
7450,103,0.950000
10000,2550,1.000000
7361,7361,0.000000
7363,2,0.050000
7365,2,0.100000
7364,-1,0.150000
7367,3,0.200000
7371,4,0.250000
7369,-2,0.300000
7377,8,0.350000
7380,3,0.400000
7387,7,0.450000
7382,-5,0.500000
7394,12,0.550000
7400,6,0.600000
7408,8,0.650000
7416,8,0.700000
7439,23,0.750000
7446,7,0.800000
7480,34,0.850000
7511,31,0.900000
7616,105,0.950000
10000,2384,1.000000
7247,7247,0.000000
7251,4,0.050000
7251,0,0.100000
7259,8,0.150000
