components,difference,q
99268,99268,0.000000
99268,0,0.050000
99270,2,0.100000
99269,-1,0.150000
99270,1,0.200000
99275,5,0.250000
99279,4,0.300000
99278,-1,0.350000
99274,-4,0.400000
99276,2,0.450000
99282,6,0.500000
99279,-3,0.550000
99277,-2,0.600000
99290,13,0.650000
99302,12,0.700000
99303,1,0.750000
99317,14,0.800000
99336,19,0.850000
99348,12,0.900000
99406,58,0.950000
100000,594,1.000000
99302,99302,0.000000
99303,1,0.050000
99304,1,0.100000
99306,2,0.150000
99309,3,0.200000
99309,0,0.250000
99307,-2,0.300000
99307,0,0.350000
99314,7,0.400000
99314,0,0.450000
99321,7,0.500000
99319,-2,0.550000
99320,1,0.600000
99332,12,0.650000
99333,1,0.700000
99334,1,0.750000
99339,5,0.800000
99348,9,0.850000
99375,27,0.900000
99415,40,0.950000
100000,585,1.000000
99292,99292,0.000000
99294,2,0.050000
99297,3,0.100000
99297,0,0.150000
99301,4,0.200000
99299,-2,0.250000
99299,0,0.300000
99309,10,0.350000
99307,-2,0.400000
99314,7,0.450000
99313,-1,0.500000
99321,8,0.550000
99326,5,0.600000
99331,5,0.650000
99342,11,0.700000
99344,2,0.750000
99351,7,0.800000
99355,4,0.850000
99377,22,0.900000
99429,52,0.950000
100000,571,1.000000
99240,99240,0.000000
99240,0,0.050000
99242,2,0.100000
99242,0,0.150000
99242,0,0.200000
99242,0,0.250000
99245,3,0.300000
99251,6,0.350000
99246,-5,0.400000
99249,3,0.450000
99252,3,0.500000
99254,2,0.550000
99251,-3,0.600000
99255,4,0.650000
99258,3,0.700000
99273,15,0.750000
99274,1,0.800000
99280,6,0.850000
99305,25,0.900000
99359,54,0.950000
100000,641,1.000000
99281,99281,0.000000
99281,0,0.050000
99283,2,0.100000
99282,-1,0.150000
99284,2,0.200000
99285,1,0.250000
99284,-1,0.300000
99287,3,0.350000
99289,2,0.400000
99292,3,0.450000
99291,-1,0.500000
99294,3,0.550000
99292,-2,0.600000
99296,4,0.650000
99307,11,0.700000
99314,7,0.750000
99310,-4,0.800000
99334,24,0.850000
99348,14,0.900000
99395,47,0.950000
100000,605,1.000000
99248,99248,0.000000
99248,0,0.050000
99250,2,0.100000
99248,-2,0.150000
99251,3,0.200000
99252,1,0.250000
99253,1,0.300000
99254,1,0.350000
99255,1,0.400000
99259,4,0.450000
99261,2,0.500000
99262,1,0.550000
99266,4,0.600000
99265,-1,0.650000
99283,18,0.700000
99286,3,0.750000
99298,12,0.800000
99314,16,0.850000
99333,19,0.900000
99382,49,0.950000
100000,618,1.000000
99243,99243,0.000000
99243,0,0.050000
99244,1,0.100000
99245,1,0.150000
99245,0,0.200000
99245,0,0.250000
99245,0,0.300000
99252,7,0.350000
99249,-3,0.400000
99252,3,0.450000
99250,-2,0.500000
99255,5,0.550000
99261,6,0.600000
99264,3,0.650000
99260,-4,0.700000
99270,10,0.750000
99278,8,0.800000
99293,15,0.850000
99304,11,0.900000
99357,53,0.950000
100000,643,1.000000
99280,99280,0.000000
99281,1,0.050000
99282,1,0.100000
99281,-1,0.150000
99284,3,0.200000
99288,4,0.250000
99282,-6,0.300000
99284,2,0.350000
99287,3,0.400000
99290,3,0.450000
99292,2,0.500000
99296,4,0.550000
99298,2,0.600000
99300,2,0.650000
99307,7,0.700000
99309,2,0.750000
99318,9,0.800000
99320,2,0.850000
99350,30,0.900000
99390,40,0.950000
100000,610,1.000000
99265,99265,0.000000
99265,0,0.050000
99270,5,0.100000
99269,-1,0.150000
99275,6,0.200000
99276,1,0.250000
99279,3,0.300000
99278,-1,0.350000
99280,2,0.400000
99284,4,0.450000
99287,3,0.500000
99290,3,0.550000
99297,7,0.600000
99303,6,0.650000
99304,1,0.700000
99318,14,0.750000
99313,-5,0.800000
99327,14,0.850000
99361,34,0.900000
99402,41,0.950000
100000,598,1.000000
99319,99319,0.000000
99319,0,0.050000
99320,1,0.100000
99320,0,0.150000
99320,0,0.200000
99322,2,0.250000
99324,2,0.300000
99323,-1,0.350000
99324,1,0.400000
99324,0,0.450000
99328,4,0.500000
99326,-2,0.550000
99330,4,0.600000
99331,1,0.650000
99341,10,0.700000
99337,-4,0.750000
99352,15,0.800000
99357,5,0.850000
99373,16,0.900000
99415,42,0.950000
100000,585,1.000000
99230,99230,0.000000
99232,2,0.050000
99232,0,0.100000
99233,1,0.150000
99232,-1,0.200000
99233,1,0.250000
99241,8,0.300000
99237,-4,0.350000
99239,2,0.400000
99244,5,0.450000
99238,-6,0.500000
99243,5,0.550000
99255,12,0.600000
99247,-8,0.650000
99259,12,0.700000
99262,3,0.750000
99273,11,0.800000
99282,9,0.850000
99300,18,0.900000
99343,43,0.950000
100000,657,1.000000
99168,99168,0.000000
99168,0,0.050000
99172,4,0.100000
99173,1,0.150000
99173,0,0.200000
99177,4,0.250000
99178,1,0.300000
99179,1,0.350000
99185,6,0.400000
99186,1,0.450000
99196,10,0.500000
99194,-2,0.550000
99190,-4,0.600000
99209,19,0.650000
99203,-6,0.700000
99207,4,0.750000
99222,15,0.800000
99235,13,0.850000
99261,26,0.900000
99283,22,0.950000
100000,717,1.000000
99251,99251,0.000000
99252,1,0.050000
99256,4,0.100000
99252,-4,0.150000
99252,0,0.200000
99256,4,0.250000
99260,4,0.300000
99259,-1,0.350000
99258,-1,0.400000
99261,3,0.450000
99261,0,0.500000
99267,6,0.550000
99271,4,0.600000
99271,0,0.650000
99273,2,0.700000
99277,4,0.750000
99291,14,0.800000
99298,7,0.850000
99315,17,0.900000
99374,59,0.950000
100000,626,1.000000
99210,99210,0.000000
99211,1,0.050000
99212,1,0.100000
99213,1,0.150000
99212,-1,0.200000
99211,-1,0.250000
99213,2,0.300000
99213,0,0.350000
99215,2,0.400000
99220,5,0.450000
99224,4,0.500000
99222,-2,0.550000
99228,6,0.600000
99235,7,0.650000
99232,-3,0.700000
99238,6,0.750000
99247,9,0.800000
99275,28,0.850000
99296,21,0.900000
99343,47,0.950000
100000,657,1.000000
99270,99270,0.000000
99270,0,0.050000
99271,1,0.100000
99272,1,0.150000
99270,-2,0.200000
99272,2,0.250000
99274,2,0.300000
99273,-1,0.350000
99272,-1,0.400000
99274,2,0.450000
99277,3,0.500000
99278,1,0.550000
99280,2,0.600000
99286,6,0.650000
99292,6,0.700000
99290,-2,0.750000
99295,5,0.800000
99318,23,0.850000
99344,26,0.900000
99382,38,0.950000
100000,618,1.000000
99276,99276,0.000000
99276,0,0.050000
99278,2,0.100000
99279,1,0.150000
99282,3,0.200000
99281,-1,0.250000
99284,3,0.300000
99287,3,0.350000
99285,-2,0.400000
99289,4,0.450000
99287,-2,0.500000
99287,0,0.550000
99291,4,0.600000
99304,13,0.650000
99304,0,0.700000
99315,11,0.750000
99318,3,0.800000
99336,18,0.850000
99363,27,0.900000
99418,55,0.950000
100000,582,1.000000
99284,99284,0.000000
99286,2,0.050000
99288,2,0.100000
99287,-1,0.150000
99288,1,0.200000
99290,2,0.250000
99295,5,0.300000
99294,-1,0.350000
99296,2,0.400000
99294,-2,0.450000
99303,9,0.500000
99299,-4,0.550000
99309,10,0.600000
99308,-1,0.650000
99311,3,0.700000
99310,-1,0.750000
99320,10,0.800000
99324,4,0.850000
99355,31,0.900000
99389,34,0.950000
100000,611,1.000000
99252,99252,0.000000
99256,4,0.050000
99255,-1,0.100000
99257,2,0.150000
99257,0,0.200000
99261,4,0.250000
99259,-2,0.300000
99267,8,0.350000
99265,-2,0.400000
99270,5,0.450000
99280,10,0.500000
99288,8,0.550000
99284,-4,0.600000
99283,-1,0.650000
99296,13,0.700000
99308,12,0.750000
99305,-3,0.800000
99323,18,0.850000
99338,15,0.900000
99386,48,0.950000
100000,614,1.000000
99219,99219,0.000000
99221,2,0.050000
99223,2,0.100000
99220,-3,0.150000
99222,2,0.200000
99221,-1,0.250000
99227,6,0.300000
99230,3,0.350000
99234,4,0.400000
99232,-2,0.450000
99226,-6,0.500000
99241,15,0.550000
99234,-7,0.600000
99245,11,0.650000
99244,-1,0.700000
99249,5,0.750000
99265,16,0.800000
99268,3,0.850000
99308,40,0.900000
99345,37,0.950000
100000,655,1.000000
99243,99243,0.000000
99243,0,0.050000
99243,0,0.100000
99243,0,0.150000
99245,2,0.200000
99245,0,0.250000
99245,0,0.300000
99243,-2,0.350000
99246,3,0.400000
99244,-2,0.450000
99249,5,0.500000
99247,-2,0.550000
99247,0,0.600000
99256,9,0.650000
99250,-6,0.700000
99263,13,0.750000
99264,1,0.800000
99280,16,0.850000
99294,14,0.900000
99341,47,0.950000
100000,659,1.000000
99278,99278,0.000000
99279,1,0.050000
99279,0,0.100000
99281,2,0.150000
99282,1,0.200000
99289,7,0.250000
99292,3,0.300000
99295,3,0.350000
99289,-6,0.400000
99288,-1,0.450000
99303,15,0.500000
99299,-4,0.550000
99309,10,0.600000
99317,8,0.650000
99311,-6,0.700000
99327,16,0.750000
99338,11,0.800000
99352,14,0.850000
99384,32,0.900000
99426,42,0.950000
100000,574,1.000000
99213,99213,0.000000
99217,4,0.050000
99220,3,0.100000
99217,-3,0.150000
99224,7,0.200000
99222,-2,0.250000
99224,2,0.300000
99226,2,0.350000
99233,7,0.400000
99233,0,0.450000
99241,8,0.500000
99240,-1,0.550000
99242,2,0.600000
99252,10,0.650000
99260,8,0.700000
99258,-2,0.750000
99269,11,0.800000
99285,16,0.850000
99308,23,0.900000
99347,39,0.950000
100000,653,1.000000
99246,99246,0.000000
99246,0,0.050000
99247,1,0.100000
99250,3,0.150000
99252,2,0.200000
99250,-2,0.250000
99255,5,0.300000
99264,9,0.350000
99262,-2,0.400000
99265,3,0.450000
99266,1,0.500000
99271,5,0.550000
