components,difference,q
76390,76390,0.000000
76393,3,0.050000
76397,4,0.100000
76407,10,0.150000
76413,6,0.200000
76407,-6,0.250000
76424,17,0.300000
76446,22,0.350000
76449,3,0.400000
76466,17,0.450000
76473,7,0.500000
76486,13,0.550000
76508,22,0.600000
76544,36,0.650000
76570,26,0.700000
76599,29,0.750000
76650,51,0.800000
76738,88,0.850000
76884,146,0.900000
77129,245,0.950000
100000,22871,1.000000
76622,76622,0.000000
76628,6,0.050000
76630,2,0.100000
76634,4,0.150000
76642,8,0.200000
76643,1,0.250000
76660,17,0.300000
76665,5,0.350000
76668,3,0.400000
76683,15,0.450000
76684,1,0.500000
76690,6,0.550000
76711,21,0.600000
76739,28,0.650000
76765,26,0.700000
76787,22,0.750000
76818,31,0.800000
76891,73,0.850000
76983,92,0.900000
77223,240,0.950000
100000,22777,1.000000
76267,76267,0.000000
76270,3,0.050000
76278,8,0.100000
76280,2,0.150000
76287,7,0.200000
76291,4,0.250000
76306,15,0.300000
76318,12,0.350000
76317,-1,0.400000
76330,13,0.450000
76355,25,0.500000
76358,3,0.550000
76399,41,0.600000
76415,16,0.650000
76430,15,0.700000
76470,40,0.750000
76536,66,0.800000
76596,60,0.850000
76706,110,0.900000
76967,261,0.950000
100000,23033,1.000000
76392,76392,0.000000
76392,0,0.050000
76394,2,0.100000
76394,0,0.150000
76399,5,0.200000
76401,2,0.250000
76406,5,0.300000
76412,6,0.350000
76428,16,0.400000
76434,6,0.450000
76437,3,0.500000
76452,15,0.550000
76479,27,0.600000
76509,30,0.650000
76546,37,0.700000
76589,43,0.750000
76656,67,0.800000
76735,79,0.850000
76848,113,0.900000
77098,250,0.950000
100000,22902,1.000000
76357,76357,0.000000
76360,3,0.050000
76363,3,0.100000
76365,2,0.150000
76368,3,0.200000
76375,7,0.250000
76385,10,0.300000
76380,-5,0.350000
76393,13,0.400000
76397,4,0.450000
76403,6,0.500000
76421,18,0.550000
76436,15,0.600000
76457,21,0.650000
76473,16,0.700000
76516,43,0.750000
76584,68,0.800000
76641,57,0.850000
76749,108,0.900000
76998,249,0.950000
100000,23002,1.000000
76672,76672,0.000000
76672,0,0.050000
76674,2,0.100000
76676,2,0.150000
76677,1,0.200000
76679,2,0.250000
76678,-1,0.300000
76686,8,0.350000
76687,1,0.400000
76695,8,0.450000
76705,10,0.500000
76718,13,0.550000
76731,13,0.600000
76742,11,0.650000
76748,6,0.700000
76802,54,0.750000
76830,28,0.800000
76887,57,0.850000
76981,94,0.900000
77240,259,0.950000
100000,22760,1.000000
76232,76232,0.000000
76236,4,0.050000
76234,-2,0.100000
76238,4,0.150000
76239,1,0.200000
76262,23,0.250000
76256,-6,0.300000
76263,7,0.350000
76268,5,0.400000
76275,7,0.450000
76286,11,0.500000
76299,13,0.550000
76306,7,0.600000
76326,20,0.650000
76379,53,0.700000
76393,14,0.750000
76451,58,0.800000
76530,79,0.850000
76660,130,0.900000
76933,273,0.950000
100000,23067,1.000000
76517,76517,0.000000
76530,13,0.050000
76538,8,0.100000
76555,17,0.150000
76561,6,0.200000
76569,8,0.250000
76581,12,0.300000
76588,7,0.350000
76615,27,0.400000
76631,16,0.450000
76645,14,0.500000
76653,8,0.550000
76660,7,0.600000
76701,41,0.650000
76717,16,0.700000
76763,46,0.750000
76813,50,0.800000
76854,41,0.850000
76962,108,0.900000
77224,262,0.950000
100000,22776,1.000000
76462,76462,0.000000
76475,13,0.050000
76469,-6,0.100000
76484,15,0.150000
76486,2,0.200000
76506,20,0.250000
76510,4,0.300000
76523,13,0.350000
76534,11,0.400000
76544,10,0.450000
76560,16,0.500000
76567,7,0.550000
76599,32,0.600000
76610,11,0.650000
76642,32,0.700000
76686,44,0.750000
76713,27,0.800000
76788,75,0.850000
76926,138,0.900000
77193,267,0.950000
100000,22807,1.000000
76142,76142,0.000000
76147,5,0.050000
76151,4,0.100000
76156,5,0.150000
76157,1,0.200000
76165,8,0.250000
76166,1,0.300000
76181,15,0.350000
76182,1,0.400000
76192,10,0.450000
76194,2,0.500000
76219,25,0.550000
76231,12,0.600000
76247,16,0.650000
76276,29,0.700000
76295,19,0.750000
76358,63,0.800000
76448,90,0.850000
76563,115,0.900000
76868,305,0.950000
100000,23132,1.000000
76399,76399,0.000000
76403,4,0.050000
76422,19,0.100000
76418,-4,0.150000
76436,18,0.200000
76444,8,0.250000
76457,13,0.300000
76471,14,0.350000
76487,16,0.400000
76512,25,0.450000
76551,39,0.500000
76552,1,0.550000
76580,28,0.600000
76619,39,0.650000
76632,13,0.700000
76657,25,0.750000
76748,91,0.800000
76805,57,0.850000
76904,99,0.900000
77127,223,0.950000
100000,22873,1.000000
76032,76032,0.000000
76035,3,0.050000
76039,4,0.100000
76043,4,0.150000
76045,2,0.200000
76059,14,0.250000
76074,15,0.300000
76070,-4,0.350000
76087,17,0.400000
76085,-2,0.450000
76116,31,0.500000
76138,22,0.550000
76144,6,0.600000
76164,20,0.650000
76201,37,0.700000
76209,8,0.750000
76278,69,0.800000
76345,67,0.850000
76446,101,0.900000
76719,273,0.950000
100000,23281,1.000000
76570,76570,0.000000
76575,5,0.050000
76578,3,0.100000
76585,7,0.150000
76597,12,0.200000
76593,-4,0.250000
76606,13,0.300000
76605,-1,0.350000
76620,15,0.400000
76614,-6,0.450000
76657,43,0.500000
76651,-6,0.550000
76692,41,0.600000
76705,13,0.650000
76711,6,0.700000
76750,39,0.750000
76795,45,0.800000
76860,65,0.850000
76963,103,0.900000
77213,250,0.950000
100000,22787,1.000000
76282,76282,0.000000
76290,8,0.050000
76294,4,0.100000
76305,11,0.150000
76307,2,0.200000
76319,12,0.250000
76342,23,0.300000
76336,-6,0.350000
76370,34,0.400000
76364,-6,0.450000
76379,15,0.500000
76408,29,0.550000
76422,14,0.600000
76442,20,0.650000
76489,47,0.700000
76518,29,0.750000
76560,42,0.800000
76643,83,0.850000
76785,142,0.900000
77068,283,0.950000
100000,22932,1.000000
76462,76462,0.000000
76468,6,0.050000
76469,1,0.100000
76475,6,0.150000
76485,10,0.200000
76482,-3,0.250000
76491,9,0.300000
76500,9,0.350000
76502,2,0.400000
76507,5,0.450000
76523,16,0.500000
76520,-3,0.550000
76549,29,0.600000
76557,8,0.650000
76576,19,0.700000
76587,11,0.750000
76630,43,0.800000
76695,65,0.850000
76764,69,0.900000
77017,253,0.950000
100000,22983,1.000000
76530,76530,0.000000
76533,3,0.050000
76542,9,0.100000
76540,-2,0.150000
76548,8,0.200000
76551,3,0.250000
76559,8,0.300000
76571,12,0.350000
76575,4,0.400000
76594,19,0.450000
76606,12,0.500000
76609,3,0.550000
76636,27,0.600000
76639,3,0.650000
76668,29,0.700000
76706,38,0.750000
76744,38,0.800000
76803,59,0.850000
76904,101,0.900000
77132,228,0.950000
100000,22868,1.000000
76372,76372,0.000000
76373,1,0.050000
76374,1,0.100000
76378,4,0.150000
76385,7,0.200000
76387,2,0.250000
