components,difference,q
9123,9123,0.000000
9123,0,0.050000
9123,0,0.100000
9126,3,0.150000
9124,-2,0.200000
9126,2,0.250000
9127,1,0.300000
9126,-1,0.350000
9130,4,0.400000
9128,-2,0.450000
9132,4,0.500000
9135,3,0.550000
9136,1,0.600000
9143,7,0.650000
9144,1,0.700000
9152,8,0.750000
9164,12,0.800000
9177,13,0.850000
9198,21,0.900000
9241,43,0.950000
10000,759,1.000000
9030,9030,0.000000
9032,2,0.050000
9033,1,0.100000
9033,0,0.150000
9033,0,0.200000
9039,6,0.250000
9039,0,0.300000
9040,1,0.350000
9042,2,0.400000
9040,-2,0.450000
9044,4,0.500000
9051,7,0.550000
9049,-2,0.600000
9050,1,0.650000
9059,9,0.700000
9062,3,0.750000
9078,16,0.800000
9096,18,0.850000
9109,13,0.900000
9170,61,0.950000
10000,830,1.000000
9115,9115,0.000000
9115,0,0.050000
9116,1,0.100000
9121,5,0.150000
9120,-1,0.200000
9120,0,0.250000
9123,3,0.300000
9124,1,0.350000
9129,5,0.400000
9130,1,0.450000
9131,1,0.500000
9132,1,0.550000
9139,7,0.600000
9145,6,0.650000
9148,3,0.700000
9161,13,0.750000
9162,1,0.800000
9183,21,0.850000
9203,20,0.900000
9267,64,0.950000
10000,733,1.000000
9069,9069,0.000000
9071,2,0.050000
9071,0,0.100000
9073,2,0.150000
9076,3,0.200000
9079,3,0.250000
9079,0,0.300000
9086,7,0.350000
9088,2,0.400000
9094,6,0.450000
9093,-1,0.500000
9094,1,0.550000
9100,6,0.600000
9111,11,0.650000
9120,9,0.700000
9132,12,0.750000
9138,6,0.800000
9161,23,0.850000
9186,25,0.900000
9244,58,0.950000
10000,756,1.000000
9058,9058,0.000000
9059,1,0.050000
9060,1,0.100000
9059,-1,0.150000
9060,1,0.200000
9059,-1,0.250000
9060,1,0.300000
9060,0,0.350000
9061,1,0.400000
9064,3,0.450000
9066,2,0.500000
9071,5,0.550000
9072,1,0.600000
9073,1,0.650000
9087,14,0.700000
9092,5,0.750000
9095,3,0.800000
9122,27,0.850000
9143,21,0.900000
9184,41,0.950000
10000,816,1.000000
9017,9017,0.000000
9020,3,0.050000
9018,-2,0.100000
9017,-1,0.150000
9019,2,0.200000
9020,1,0.250000
9020,0,0.300000
9022,2,0.350000
9021,-1,0.400000
9029,8,0.450000
9028,-1,0.500000
9029,1,0.550000
9035,6,0.600000
9041,6,0.650000
9039,-2,0.700000
9058,19,0.750000
9060,2,0.800000
9077,17,0.850000
9088,11,0.900000
9154,66,0.950000
10000,846,1.000000
9100,9100,0.000000
9100,0,0.050000
9101,1,0.100000
9101,0,0.150000
9100,-1,0.200000
9101,1,0.250000
9103,2,0.300000
9102,-1,0.350000
9103,1,0.400000
9108,5,0.450000
9109,1,0.500000
9111,2,0.550000
9110,-1,0.600000
9119,9,0.650000
9114,-5,0.700000
