components,difference,q
97053,97053,0.000000
97053,0,0.050000
97060,7,0.100000
97059,-1,0.150000
97067,8,0.200000
97065,-2,0.250000
97074,9,0.300000
97074,0,0.350000
97076,2,0.400000
97081,5,0.450000
97078,-3,0.500000
97091,13,0.550000
97088,-3,0.600000
97100,12,0.650000
97099,-1,0.700000
97116,17,0.750000
97133,17,0.800000
97141,8,0.850000
97187,46,0.900000
97289,102,0.950000
100000,2711,1.000000
97116,97116,0.000000
97117,1,0.050000
97123,6,0.100000
97120,-3,0.150000
97121,1,0.200000
97130,9,0.250000
97128,-2,0.300000
97130,2,0.350000
97125,-5,0.400000
97132,7,0.450000
97146,14,0.500000
97142,-4,0.550000
97160,18,0.600000
97154,-6,0.650000
97164,10,0.700000
97179,15,0.750000
97196,17,0.800000
97212,16,0.850000
97247,35,0.900000
97334,87,0.950000
100000,2666,1.000000
96964,96964,0.000000
96965,1,0.050000
96967,2,0.100000
96970,3,0.150000
96973,3,0.200000
96972,-1,0.250000
96973,1,0.300000
96980,7,0.350000
96988,8,0.400000
96991,3,0.450000
96991,0,0.500000
97002,11,0.550000
97000,-2,0.600000
97015,15,0.650000
97029,14,0.700000
97035,6,0.750000
97060,25,0.800000
97085,25,0.850000
97147,62,0.900000
97266,119,0.950000
100000,2734,1.000000
96799,96799,0.000000
96801,2,0.050000
96801,0,0.100000
96811,10,0.150000
96806,-5,0.200000
96816,10,0.250000
96815,-1,0.300000
96820,5,0.350000
96832,12,0.400000
96822,-10,0.450000
96831,9,0.500000
96843,12,0.550000
96842,-1,0.600000
96855,13,0.650000
96881,26,0.700000
96887,6,0.750000
96898,11,0.800000
96935,37,0.850000
96973,38,0.900000
97079,106,0.950000
100000,2921,1.000000
96961,96961,0.000000
96961,0,0.050000
96965,4,0.100000
96970,5,0.150000
96974,4,0.200000
96985,11,0.250000
96983,-2,0.300000
96984,1,0.350000
97007,23,0.400000
97000,-7,0.450000
97019,19,0.500000
97028,9,0.550000
97049,21,0.600000
97046,-3,0.650000
97060,14,0.700000
97067,7,0.750000
97105,38,0.800000
97119,14,0.850000
97170,51,0.900000
97249,79,0.950000
100000,2751,1.000000
96970,96970,0.000000
96971,1,0.050000
96973,2,0.100000
96972,-1,0.150000
96977,5,0.200000
96976,-1,0.250000
96978,2,0.300000
96985,7,0.350000
96984,-1,0.400000
96991,7,0.450000
96994,3,0.500000
96999,5,0.550000
97003,4,0.600000
97004,1,0.650000
97016,12,0.700000
97029,13,0.750000
97056,27,0.800000
97077,21,0.850000
97121,44,0.900000
97221,100,0.950000
100000,2779,1.000000
96910,96910,0.000000
96910,0,0.050000
96911,1,0.100000
96912,1,0.150000
96918,6,0.200000
96922,4,0.250000
96927,5,0.300000
96926,-1,0.350000
96929,3,0.400000
96936,7,0.450000
96940,4,0.500000
96948,8,0.550000
96953,5,0.600000
96955,2,0.650000
96970,15,0.700000
96983,13,0.750000
96995,12,0.800000
97021,26,0.850000
97062,41,0.900000
97176,114,0.950000
100000,2824,1.000000
97020,97020,0.000000
97021,1,0.050000
97021,0,0.100000
97020,-1,0.150000
97023,3,0.200000
97026,3,0.250000
97028,2,0.300000
97032,4,0.350000
97032,0,0.400000
97033,1,0.450000
97042,9,0.500000
97051,9,0.550000
97047,-4,0.600000
97065,18,0.650000
