components,difference,q
3052,3052,0.000000
3054,2,0.050000
3054,0,0.100000
3057,3,0.150000
3061,4,0.200000
3061,0,0.250000
3068,7,0.300000
3065,-3,0.350000
3075,10,0.400000
3072,-3,0.450000
3086,14,0.500000
3081,-5,0.550000
3098,17,0.600000
3107,9,0.650000
3119,12,0.700000
3125,6,0.750000
3155,30,0.800000
3177,22,0.850000
3257,80,0.900000
3386,129,0.950000
10000,6614,1.000000
2924,2924,0.000000
2928,4,0.050000
2932,4,0.100000
2937,5,0.150000
2944,7,0.200000
2951,7,0.250000
2944,-7,0.300000
2966,22,0.350000
2971,5,0.400000
2972,1,0.450000
2986,14,0.500000
2983,-3,0.550000
2997,14,0.600000
3015,18,0.650000
3027,12,0.700000
3049,22,0.750000
3064,15,0.800000
3110,46,0.850000
3179,69,0.900000
3339,160,0.950000
10000,6661,1.000000
3105,3105,0.000000
3108,3,0.050000
3111,3,0.100000
3113,2,0.150000
3116,3,0.200000
3122,6,0.250000
3118,-4,0.300000
3129,11,0.350000
3137,8,0.400000
3150,13,0.450000
3157,7,0.500000
3156,-1,0.550000
3164,8,0.600000
3186,22,0.650000
3205,19,0.700000
3207,2,0.750000
3232,25,0.800000
3294,62,0.850000
3343,49,0.900000
3498,155,0.950000
10000,6502,1.000000
2915,2915,0.000000
2916,1,0.050000
2918,2,0.100000
2920,2,0.150000
2924,4,0.200000
2928,4,0.250000
2930,2,0.300000
2938,8,0.350000
2944,6,0.400000
2952,8,0.450000
2954,2,0.500000
2978,24,0.550000
2996,18,0.600000
3015,19,0.650000
3027,12,0.700000
3063,36,0.750000
3085,22,0.800000
3161,76,0.850000
3247,86,0.900000
3381,134,0.950000
10000,6619,1.000000
2997,2997,0.000000
2998,1,0.050000
2998,0,0.100000
3002,4,0.150000
3003,1,0.200000
3008,5,0.250000
3010,2,0.300000
3007,-3,0.350000
3030,23,0.400000
3022,-8,0.450000
3031,9,0.500000
3043,12,0.550000
3042,-1,0.600000
3059,17,0.650000
3062,3,0.700000
3080,18,0.750000
3105,25,0.800000
3146,41,0.850000
3201,55,0.900000
3311,110,0.950000
10000,6689,1.000000
3006,3006,0.000000
3008,2,0.050000
3012,4,0.100000
3016,4,0.150000
3019,3,0.200000
3025,6,0.250000
3025,0,0.300000
3038,13,0.350000
3032,-6,0.400000
3052,20,0.450000
3058,6,0.500000
3063,5,0.550000
3071,8,0.600000
3078,7,0.650000
3094,16,0.700000
3116,22,0.750000
3165,49,0.800000
3188,23,0.850000
3265,77,0.900000
3394,129,0.950000
10000,6606,1.000000
3007,3007,0.000000
3008,1,0.050000
3009,1,0.100000
3015,6,0.150000
3017,2,0.200000
3019,2,0.250000
3023,4,0.300000
3022,-1,0.350000
3022,0,0.400000
3033,11,0.450000
3029,-4,0.500000
3036,7,0.550000
3044,8,0.600000
3052,8,0.650000
3058,6,0.700000
3096,38,0.750000
3101,5,0.800000
3150,49,0.850000
3217,67,0.900000
3351,134,0.950000
10000,6649,1.000000
3006,3006,0.000000
3007,1,0.050000
3007,0,0.100000
3008,1,0.150000
3008,0,0.200000
3016,8,0.250000
3020,4,0.300000
3023,3,0.350000
3029,6,0.400000
3030,1,0.450000
3039,9,0.500000
3056,17,0.550000
3077,21,0.600000
3077,0,0.650000
3085,8,0.700000
3122,37,0.750000
3148,26,0.800000
3185,37,0.850000
3247,62,0.900000
3418,171,0.950000
10000,6582,1.000000
3052,3052,0.000000
3055,3,0.050000
3057,2,0.100000
3056,-1,0.150000
3065,9,0.200000
3060,-5,0.250000
3063,3,0.300000
3066,3,0.350000
3071,5,0.400000
3073,2,0.450000
3077,4,0.500000
3087,10,0.550000
3096,9,0.600000
3088,-8,0.650000
3100,12,0.700000
3117,17,0.750000
3125,8,0.800000
3149,24,0.850000
3229,80,0.900000
3382,153,0.950000
10000,6618,1.000000
2991,2991,0.000000
2992,1,0.050000
2996,4,0.100000
3002,6,0.150000
3001,-1,0.200000
3005,4,0.250000
3004,-1,0.300000
3007,3,0.350000
3019,12,0.400000
3021,2,0.450000
3032,11,0.500000
3040,8,0.550000
3053,13,0.600000
3065,12,0.650000
3069,4,0.700000
3104,35,0.750000
3129,25,0.800000
3170,41,0.850000
3226,56,0.900000
3399,173,0.950000
10000,6601,1.000000
2996,2996,0.000000
2996,0,0.050000
3000,4,0.100000
3000,0,0.150000
3004,4,0.200000
3008,4,0.250000
3001,-7,0.300000
3011,10,0.350000
3012,1,0.400000
3013,1,0.450000
3022,9,0.500000
3023,1,0.550000
3026,3,0.600000
3048,22,0.650000
3066,18,0.700000
3066,0,0.750000
3110,44,0.800000
3149,39,0.850000
3204,55,0.900000
3388,184,0.950000
10000,6612,1.000000
3057,3057,0.000000
3060,3,0.050000
3062,2,0.100000
3063,1,0.150000
3066,3,0.200000
3071,5,0.250000
3071,0,0.300000
3080,9,0.350000
3084,4,0.400000
3087,3,0.450000
3087,0,0.500000
3101,14,0.550000
3103,2,0.600000
3123,20,0.650000
3122,-1,0.700000
3138,16,0.750000
3170,32,0.800000
3184,14,0.850000
3229,45,0.900000
3359,130,0.950000
10000,6641,1.000000
3044,3044,0.000000
3046,2,0.050000
3045,-1,0.100000
3048,3,0.150000
3047,-1,0.200000
3051,4,0.250000
3051,0,0.300000
3063,12,0.350000
3066,3,0.400000
3070,4,0.450000
3081,11,0.500000
3083,2,0.550000
3086,3,0.600000
3100,14,0.650000
3126,26,0.700000
3141,15,0.750000
3154,13,0.800000
3187,33,0.850000
3245,58,0.900000
3384,139,0.950000
10000,6616,1.000000
2961,2961,0.000000
2963,2,0.050000
2964,1,0.100000
2968,4,0.150000
2967,-1,0.200000
2977,10,0.250000
2984,7,0.300000
2986,2,0.350000
2978,-8,0.400000
2992,14,0.450000
2997,5,0.500000
3019,22,0.550000
3020,1,0.600000
3021,1,0.650000
3039,18,0.700000
3066,27,0.750000
3089,23,0.800000
3121,32,0.850000
3183,62,0.900000
3345,162,0.950000
10000,6655,1.000000
3154,3154,0.000000
3155,1,0.050000
3154,-1,0.100000
3156,2,0.150000
3160,4,0.200000
3158,-2,0.250000
3165,7,0.300000
3167,2,0.350000
3167,0,0.400000
3171,4,0.450000
3176,5,0.500000
3180,4,0.550000
3188,8,0.600000
3197,9,0.650000
3204,7,0.700000
3228,24,0.750000
