components,difference,q
9270,9270,0.000000
9273,3,0.050000
9270,-3,0.100000
9274,4,0.150000
9275,1,0.200000
9272,-3,0.250000
9274,2,0.300000
9281,7,0.350000
9276,-5,0.400000
9277,1,0.450000
9276,-1,0.500000
9288,12,0.550000
9282,-6,0.600000
9290,8,0.650000
9296,6,0.700000
9292,-4,0.750000
9304,12,0.800000
9314,10,0.850000
9333,19,0.900000
9376,43,0.950000
10000,624,1.000000
9370,9370,0.000000
9370,0,0.050000
9374,4,0.100000
9371,-3,0.150000
9381,10,0.200000
9379,-2,0.250000
9374,-5,0.300000
9374,0,0.350000
9379,5,0.400000
9382,3,0.450000
9388,6,0.500000
9384,-4,0.550000
9393,9,0.600000
9397,4,0.650000
9405,8,0.700000
9414,9,0.750000
9410,-4,0.800000
9436,26,0.850000
9450,14,0.900000
9489,39,0.950000
10000,511,1.000000
9301,9301,0.000000
9301,0,0.050000
9303,2,0.100000
9303,0,0.150000
9303,0,0.200000
9308,5,0.250000
9308,0,0.300000
9310,2,0.350000
9311,1,0.400000
9317,6,0.450000
9315,-2,0.500000
9316,1,0.550000
9317,1,0.600000
9326,9,0.650000
9332,6,0.700000
9335,3,0.750000
9351,16,0.800000
9350,-1,0.850000
9364,14,0.900000
9422,58,0.950000
10000,578,1.000000
9333,9333,0.000000
9333,0,0.050000
9333,0,0.100000
9333,0,0.150000
9334,1,0.200000
9336,2,0.250000
9336,0,0.300000
9337,1,0.350000
9344,7,0.400000
9344,0,0.450000
9347,3,0.500000
9341,-6,0.550000
9354,13,0.600000
9353,-1,0.650000
9367,14,0.700000
9361,-6,0.750000
9376,15,0.800000
9374,-2,0.850000
9404,30,0.900000
9453,49,0.950000
10000,547,1.000000
9370,9370,0.000000
9371,1,0.050000
9373,2,0.100000
9374,1,0.150000
9374,0,0.200000
9375,1,0.250000
9376,1,0.300000
9373,-3,0.350000
9377,4,0.400000
9374,-3,0.450000
9377,3,0.500000
9375,-2,0.550000
9380,5,0.600000
9381,1,0.650000
9389,8,0.700000
9389,0,0.750000
9389,0,0.800000
9409,20,0.850000
9422,13,0.900000
9461,39,0.950000
10000,539,1.000000
9328,9328,0.000000
9329,1,0.050000
9329,0,0.100000
9331,2,0.150000
9330,-1,0.200000
9333,3,0.250000
9332,-1,0.300000
9334,2,0.350000
9338,4,0.400000
9332,-6,0.450000
9342,10,0.500000
9339,-3,0.550000
9348,9,0.600000
9344,-4,0.650000
9350,6,0.700000
9365,15,0.750000
9363,-2,0.800000
9370,7,0.850000
9399,29,0.900000
9443,44,0.950000
10000,557,1.000000
9312,9312,0.000000
9315,3,0.050000
9314,-1,0.100000
9317,3,0.150000
9317,0,0.200000
9324,7,0.250000
9329,5,0.300000
9326,-3,0.350000
9331,5,0.400000
9332,1,0.450000
9337,5,0.500000
9337,0,0.550000
9342,5,0.600000
9350,8,0.650000
9354,4,0.700000
9357,3,0.750000
9369,12,0.800000
9380,11,0.850000
9405,25,0.900000
9445,40,0.950000
10000,555,1.000000
9384,9384,0.000000
9384,0,0.050000
9385,1,0.100000
9387,2,0.150000
9385,-2,0.200000
9389,4,0.250000
9390,1,0.300000
9390,0,0.350000
9392,2,0.400000
9390,-2,0.450000
9393,3,0.500000
9394,1,0.550000
9398,4,0.600000
9393,-5,0.650000
9398,5,0.700000
9407,9,0.750000
9414,7,0.800000
9430,16,0.850000
9452,22,0.900000
9499,47,0.950000
10000,501,1.000000
9355,9355,0.000000
9356,1,0.050000
9356,0,0.100000
9355,-1,0.150000
9359,4,0.200000
9359,0,0.250000
9357,-2,0.300000
9360,3,0.350000
9361,1,0.400000
9363,2,0.450000
9364,1,0.500000
9364,0,0.550000
9370,6,0.600000
9372,2,0.650000
9380,8,0.700000
9386,6,0.750000
9396,10,0.800000
9390,-6,0.850000
9410,20,0.900000
9454,44,0.950000
10000,546,1.000000
9334,9334,0.000000
9334,0,0.050000
9334,0,0.100000
9334,0,0.150000
9337,3,0.200000
9338,1,0.250000
9341,3,0.300000
9343,2,0.350000
9340,-3,0.400000
9343,3,0.450000
9339,-4,0.500000
9344,5,0.550000
9348,4,0.600000
9347,-1,0.650000
9358,11,0.700000
9361,3,0.750000
9373,12,0.800000
9389,16,0.850000
9410,21,0.900000
9456,46,0.950000
10000,544,1.000000
9325,9325,0.000000
9326,1,0.050000
9328,2,0.100000
9328,0,0.150000
9326,-2,0.200000
9327,1,0.250000
9330,3,0.300000
9334,4,0.350000
9329,-5,0.400000
9336,7,0.450000
9337,1,0.500000
9343,6,0.550000
9349,6,0.600000
9350,1,0.650000
9350,0,0.700000
9367,17,0.750000
9365,-2,0.800000
9375,10,0.850000
9399,24,0.900000
9441,42,0.950000
10000,559,1.000000
9317,9317,0.000000
9320,3,0.050000
9318,-2,0.100000
9321,3,0.150000
9318,-3,0.200000
9320,2,0.250000
9323,3,0.300000
9323,0,0.350000
9325,2,0.400000
9328,3,0.450000
9327,-1,0.500000
9330,3,0.550000
9332,2,0.600000
9343,11,0.650000
9341,-2,0.700000
9348,7,0.750000
9358,10,0.800000
9369,11,0.850000
9388,19,0.900000
9424,36,0.950000
10000,576,1.000000
9343,9343,0.000000
9346,3,0.050000
9347,1,0.100000
9346,-1,0.150000
9351,5,0.200000
9355,4,0.250000
9355,0,0.300000
9359,4,0.350000
9362,3,0.400000
9355,-7,0.450000
9360,5,0.500000
9373,13,0.550000
9371,-2,0.600000
9375,4,0.650000
9375,0,0.700000
9387,12,0.750000
9396,9,0.800000
9402,6,0.850000
9422,20,0.900000
9466,44,0.950000
10000,534,1.000000
9319,9319,0.000000
