components,difference,q
84420,84420,0.000000
84420,0,0.050000
84423,3,0.100000
84434,11,0.150000
84433,-1,0.200000
84440,7,0.250000
84444,4,0.300000
84453,9,0.350000
84455,2,0.400000
84463,8,0.450000
84455,-8,0.500000
84489,34,0.550000
84483,-6,0.600000
84505,22,0.650000
84525,20,0.700000
84556,31,0.750000
84588,32,0.800000
84642,54,0.850000
84702,60,0.900000
84910,208,0.950000
100000,15090,1.000000
84412,84412,0.000000
84416,4,0.050000
84415,-1,0.100000
84424,9,0.150000
84435,11,0.200000
84432,-3,0.250000
84439,7,0.300000
84452,13,0.350000
84455,3,0.400000
84469,14,0.450000
84484,15,0.500000
84502,18,0.550000
84531,29,0.600000
84528,-3,0.650000
84563,35,0.700000
84606,43,0.750000
84649,43,0.800000
84696,47,0.850000
84786,90,0.900000
84981,195,0.950000
100000,15019,1.000000
84378,84378,0.000000
84380,2,0.050000
84382,2,0.100000
84384,2,0.150000
84388,4,0.200000
84393,5,0.250000
84402,9,0.300000
84403,1,0.350000
84403,0,0.400000
84411,8,0.450000
84420,9,0.500000
84433,13,0.550000
84447,14,0.600000
84448,1,0.650000
84490,42,0.700000
84496,6,0.750000
84548,52,0.800000
84592,44,0.850000
84698,106,0.900000
84911,213,0.950000
100000,15089,1.000000
84068,84068,0.000000
84075,7,0.050000
84074,-1,0.100000
84080,6,0.150000
84082,2,0.200000
84092,10,0.250000
84094,2,0.300000
84114,20,0.350000
84110,-4,0.400000
84120,10,0.450000
84122,2,0.500000
84134,12,0.550000
84155,21,0.600000
84174,19,0.650000
84187,13,0.700000
84209,22,0.750000
84235,26,0.800000
84287,52,0.850000
84378,91,0.900000
84627,249,0.950000
100000,15373,1.000000
84123,84123,0.000000
84123,0,0.050000
84124,1,0.100000
84124,0,0.150000
84125,1,0.200000
84135,10,0.250000
84131,-4,0.300000
84134,3,0.350000
84141,7,0.400000
84156,15,0.450000
84155,-1,0.500000
84163,8,0.550000
84193,30,0.600000
84201,8,0.650000
84247,46,0.700000
84250,3,0.750000
84324,74,0.800000
84391,67,0.850000
84487,96,0.900000
84718,231,0.950000
100000,15282,1.000000
84450,84450,0.000000
84450,0,0.050000
84454,4,0.100000
84455,1,0.150000
84458,3,0.200000
84460,2,0.250000
84460,0,0.300000
84461,1,0.350000
84469,8,0.400000
84480,11,0.450000
84480,0,0.500000
84482,2,0.550000
84497,15,0.600000
84514,17,0.650000
84515,1,0.700000
84566,51,0.750000
84578,12,0.800000
84638,60,0.850000
84704,66,0.900000
84895,191,0.950000
100000,15105,1.000000
84257,84257,0.000000
84257,0,0.050000
84260,3,0.100000
84265,5,0.150000
84270,5,0.200000
84267,-3,0.250000
84271,4,0.300000
84278,7,0.350000
84281,3,0.400000
84290,9,0.450000
84298,8,0.500000
84293,-5,0.550000
84307,14,0.600000
84315,8,0.650000
84331,16,0.700000
84348,17,0.750000
84382,34,0.800000
84427,45,0.850000
84520,93,0.900000
84740,220,0.950000
100000,15260,1.000000
84246,84246,0.000000
84251,5,0.050000
84260,9,0.100000
84266,6,0.150000
84266,0,0.200000
84268,2,0.250000
84272,4,0.300000
84282,10,0.350000
84287,5,0.400000
84298,11,0.450000
84300,2,0.500000
84308,8,0.550000
84325,17,0.600000
84337,12,0.650000
84353,16,0.700000
84365,12,0.750000
