components,difference,q
875735,216092,0.550000
1063275,187540,0.600000
1203702,140427,0.650000
1282381,78679,0.700000
1289283,6902,0.750000
1216264,-73019,0.800000
1054468,-161796,0.850000
800982,-253486,0.900000
449743,-351239,0.950000
0,-449743,1.000000
1,1,0.000000
222,221,0.050000
1170,948,0.100000
5086,3916,0.150000
14625,9539,0.200000
35024,20399,0.250000
74050,39026,0.300000
142354,68304,0.350000
255692,113338,0.400000
441096,185404,0.450000
659339,218243,0.500000
874659,215320,0.550000
1061730,187071,0.600000
1202965,141235,0.650000
1281927,78962,0.700000
1290950,9023,0.750000
1216349,-74601,0.800000
1056111,-160238,0.850000
800786,-255325,0.900000
449107,-351679,0.950000
0,-449107,1.000000
1,1,0.000000
233,232,0.050000
1210,977,0.100000
4954,3744,0.150000
14700,9746,0.200000
35327,20627,0.250000
73314,37987,0.300000
140471,67157,0.350000
255505,115034,0.400000
438758,183253,0.450000
659035,220277,0.500000
876771,217736,0.550000
1061930,185159,0.600000
1202904,140974,0.650000
1282374,79470,0.700000
1287429,5055,0.750000
1216467,-70962,0.800000
1054259,-162208,0.850000
800440,-253819,0.900000
449791,-350649,0.950000
0,-449791,1.000000
1,1,0.000000
234,233,0.050000
1244,1010,0.100000
5109,3865,0.150000
14615,9506,0.200000
35022,20407,0.250000
73520,38498,0.300000
141267,67747,0.350000
255119,113852,0.400000
440477,185358,0.450000
659134,218657,0.500000
874198,215064,0.550000
1062103,187905,0.600000
1203200,141097,0.650000
1280991,77791,0.700000
1290011,9020,0.750000
1215269,-74742,0.800000
1055984,-159285,0.850000
800056,-255928,0.900000
449657,-350399,0.950000
0,-449657,1.000000
1,1,0.000000
216,215,0.050000
1237,1021,0.100000
4995,3758,0.150000
14594,9599,0.200000
35550,20956,0.250000
73191,37641,0.300000
141078,67887,0.350000
256084,115006,0.400000
438803,182719,0.450000
660634,221831,0.500000
873443,212809,0.550000
1062177,188734,0.600000
1203321,141144,0.650000
1282912,79591,0.700000
1288911,5999,0.750000
1215139,-73772,0.800000
1055740,-159399,0.850000
801684,-254056,0.900000
449681,-352003,0.950000
0,-449681,1.000000
1,1,0.000000
204,203,0.050000
1186,982,0.100000
5000,3814,0.150000
14628,9628,0.200000
35174,20546,0.250000
73661,38487,0.300000
140699,67038,0.350000
255704,115005,0.400000
440645,184941,0.450000
658729,218084,0.500000
875516,216787,0.550000
1062093,186577,0.600000
1202545,140452,0.650000
1281869,79324,0.700000
1290890,9021,0.750000
1216068,-74822,0.800000
1054469,-161599,0.850000
799434,-255035,0.900000
449978,-349456,0.950000
0,-449978,1.000000
1,1,0.000000
231,230,0.050000
1247,1016,0.100000
4861,3614,0.150000
14949,10088,0.200000
34997,20048,0.250000
73765,38768,0.300000
141048,67283,0.350000
255809,114761,0.400000
440430,184621,0.450000
660155,219725,0.500000
875676,215521,0.550000
1063152,187476,0.600000
1201436,138284,0.650000
1281707,80271,0.700000
1289534,7827,0.750000
1215662,-73872,0.800000
1053793,-161869,0.850000
802901,-250892,0.900000
449847,-353054,0.950000
0,-449847,1.000000
1,1,0.000000
187,186,0.050000
1194,1007,0.100000
4927,3733,0.150000
14674,9747,0.200000
35661,20987,0.250000
73921,38260,0.300000
140761,66840,0.350000
253675,112914,0.400000
441119,187444,0.450000
658073,216954,0.500000
874533,216460,0.550000
1062086,187553,0.600000
1202534,140448,0.650000
1281980,79446,0.700000
1290184,8204,0.750000
1215928,-74256,0.800000
1054816,-161112,0.850000
800661,-254155,0.900000
450135,-350526,0.950000
0,-450135,1.000000
1,1,0.000000
202,201,0.050000
1283,1081,0.100000
5085,3802,0.150000
14821,9736,0.200000
35276,20455,0.250000
73617,38341,0.300000
140681,67064,0.350000
254970,114289,0.400000
439579,184609,0.450000
660193,220614,0.500000
876998,216805,0.550000
1061997,184999,0.600000
1202183,140186,0.650000
1281523,79340,0.700000
1289785,8262,0.750000
1215853,-73932,0.800000
1054678,-161175,0.850000
800080,-254598,0.900000
449886,-350194,0.950000
0,-449886,1.000000
1,1,0.000000
224,223,0.050000
1249,1025,0.100000
4972,3723,0.150000
14682,9710,0.200000
35421,20739,0.250000
73906,38485,0.300000
140677,66771,0.350000
255447,114770,0.400000
438773,183326,0.450000
659752,220979,0.500000
873730,213978,0.550000
1062465,188735,0.600000
1202978,140513,0.650000
1281944,78966,0.700000
1289948,8004,0.750000
1215270,-74678,0.800000
1054992,-160278,0.850000
800823,-254169,0.900000
449610,-351213,0.950000
0,-449610,1.000000
1,1,0.000000
187,186,0.050000
1285,1098,0.100000
5061,3776,0.150000
14549,9488,0.200000
34938,20389,0.250000
73505,38567,0.300000
140735,67230,0.350000
254526,113791,0.400000
440702,186176,0.450000
660368,219666,0.500000
875275,214907,0.550000
1061942,186667,0.600000
1202950,141008,0.650000
1283003,80053,0.700000
1289648,6645,0.750000
1215375,-74273,0.800000
1054103,-161272,0.850000
800730,-253373,0.900000
450617,-350113,0.950000
0,-450617,1.000000
1,1,0.000000
198,197,0.050000
1205,1007,0.100000
4898,3693,0.150000
14504,9606,0.200000
35567,21063,0.250000
74020,38453,0.300000
141089,67069,0.350000
254725,113636,0.400000
438744,184019,0.450000
659903,221159,0.500000
876312,216409,0.550000
1063339,187027,0.600000
1203082,139743,0.650000
1282033,78951,0.700000
1288869,6836,0.750000
1215695,-73174,0.800000
1056599,-159096,0.850000
800402,-256197,0.900000
450521,-349881,0.950000
0,-450521,1.000000
1,1,0.000000
228,227,0.050000
1180,952,0.100000
4908,3728,0.150000
14600,9692,0.200000
35050,20450,0.250000
73343,38293,0.300000
141211,67868,0.350000
256170,114959,0.400000
440968,184798,0.450000
657974,217006,0.500000
874704,216730,0.550000
1062363,187659,0.600000
1202574,140211,0.650000
1282447,79873,0.700000
1288119,5672,0.750000
1215984,-72135,0.800000
1055065,-160919,0.850000
801155,-253910,0.900000
450150,-351005,0.950000
0,-450150,1.000000
1,1,0.000000
216,215,0.050000
1275,1059,0.100000
4885,3610,0.150000
14833,9948,0.200000
35088,20255,0.250000
73569,38481,0.300000
140403,66834,0.350000
255989,115586,0.400000
441230,185241,0.450000
658546,217316,0.500000
876810,218264,0.550000
1063329,186519,0.600000
1203593,140264,0.650000
1281648,78055,0.700000
1289231,7583,0.750000
1217181,-72050,0.800000
1054831,-162350,0.850000
799961,-254870,0.900000
450330,-349631,0.950000
0,-450330,1.000000
1,1,0.000000
199,198,0.050000
1174,975,0.100000
5071,3897,0.150000
14785,9714,0.200000
35426,20641,0.250000
73596,38170,0.300000
141537,67941,0.350000
255216,113679,0.400000
439713,184497,0.450000
660640,220927,0.500000
876717,216077,0.550000
1063784,187067,0.600000
1203500,139716,0.650000
1282689,79189,0.700000
1288868,6179,0.750000
1217533,-71335,0.800000
1055858,-161675,0.850000
801391,-254467,0.900000
450589,-350802,0.950000
0,-450589,1.000000
1,1,0.000000
218,217,0.050000
1254,1036,0.100000
4887,3633,0.150000
14701,9814,0.200000
35324,20623,0.250000
73587,38263,0.300000
140253,66666,0.350000
254523,114270,0.400000
439671,185148,0.450000
659886,220215,0.500000
876469,216583,0.550000
1061375,184906,0.600000
1202240,140865,0.650000
1282574,80334,0.700000
1290061,7487,0.750000
1216593,-73468,0.800000
1055963,-160630,0.850000
800132,-255831,0.900000
450053,-350079,0.950000
0,-450053,1.000000
1,1,0.000000
228,227,0.050000
1238,1010,0.100000
4934,3696,0.150000
14665,9731,0.200000
34867,20202,0.250000
73150,38283,0.300000
141291,68141,0.350000
254397,113106,0.400000
440031,185634,0.450000
659440,219409,0.500000
876365,216925,0.550000
1062049,185684,0.600000
1203944,141895,0.650000
1283365,79421,0.700000
1289076,5711,0.750000
1216207,-72869,0.800000
1055547,-160660,0.850000
800837,-254710,0.900000
449884,-350953,0.950000
0,-449884,1.000000
1,1,0.000000
201,200,0.050000
1250,1049,0.100000
4993,3743,0.150000
14640,9647,0.200000
35098,20458,0.250000
73095,37997,0.300000
141098,68003,0.350000
256127,115029,0.400000
438487,182360,0.450000
658163,219676,0.500000
876558,218395,0.550000
1060692,184134,0.600000
1200878,140186,0.650000
1281708,80830,0.700000
1289867,8159,0.750000
1215745,-74122,0.800000
1055057,-160688,0.850000
801232,-253825,0.900000
450690,-350542,0.950000
0,-450690,1.000000
1,1,0.000000
222,221,0.050000
1156,934,0.100000
4971,3815,0.150000
14988,10017,0.200000
35226,20238,0.250000
73247,38021,0.300000
141430,68183,0.350000
254726,113296,0.400000
440307,185581,0.450000
660630,220323,0.500000
876324,215694,0.550000
1063078,186754,0.600000
1203286,140208,0.650000
1283739,80453,0.700000
1290221,6482,0.750000
1216841,-73380,0.800000
1055671,-161170,0.850000
800234,-255437,0.900000
