components,difference,q
8061,8061,0.000000
8063,2,0.050000
8064,1,0.100000
8066,2,0.150000
8071,5,0.200000
8072,1,0.250000
8074,2,0.300000
8077,3,0.350000
8082,5,0.400000
8084,2,0.450000
8088,4,0.500000
8095,7,0.550000
8096,1,0.600000
8104,8,0.650000
8116,12,0.700000
8131,15,0.750000
8143,12,0.800000
8165,22,0.850000
8188,23,0.900000
8256,68,0.950000
10000,1744,1.000000
8141,8141,0.000000
8141,0,0.050000
8143,2,0.100000
8147,4,0.150000
8148,1,0.200000
8151,3,0.250000
8147,-4,0.300000
8153,6,0.350000
8152,-1,0.400000
8155,3,0.450000
8157,2,0.500000
8157,0,0.550000
8168,11,0.600000
8175,7,0.650000
8179,4,0.700000
8190,11,0.750000
8204,14,0.800000
8220,16,0.850000
8242,22,0.900000
8320,78,0.950000
10000,1680,1.000000
8103,8103,0.000000
8105,2,0.050000
8112,7,0.100000
8117,5,0.150000
8113,-4,0.200000
8115,2,0.250000
8122,7,0.300000
8127,5,0.350000
8126,-1,0.400000
8132,6,0.450000
8138,6,0.500000
8146,8,0.550000
8153,7,0.600000
8161,8,0.650000
8169,8,0.700000
8172,3,0.750000
8190,18,0.800000
8210,20,0.850000
8238,28,0.900000
8302,64,0.950000
10000,1698,1.000000
8129,8129,0.000000
8131,2,0.050000
8132,1,0.100000
8129,-3,0.150000
8130,1,0.200000
8131,1,0.250000
8137,6,0.300000
8142,5,0.350000
8140,-2,0.400000
8149,9,0.450000
8144,-5,0.500000
8151,7,0.550000
8161,10,0.600000
8161,0,0.650000
8171,10,0.700000
8170,-1,0.750000
8181,11,0.800000
8204,23,0.850000
8231,27,0.900000
8288,57,0.950000
10000,1712,1.000000
8019,8019,0.000000
8020,1,0.050000
8021,1,0.100000
8023,2,0.150000
8027,4,0.200000
8022,-5,0.250000
8029,7,0.300000
8029,0,0.350000
8037,8,0.400000
8034,-3,0.450000
8038,4,0.500000
8039,1,0.550000
8045,6,0.600000
8062,17,0.650000
8049,-13,0.700000
8070,21,0.750000
8078,8,0.800000
8100,22,0.850000
8127,27,0.900000
8197,70,0.950000
10000,1803,1.000000
8116,8116,0.000000
8117,1,0.050000
8119,2,0.100000
8119,0,0.150000
8121,2,0.200000
8124,3,0.250000
8124,0,0.300000
8127,3,0.350000
8127,0,0.400000
8137,10,0.450000
8139,2,0.500000
8141,2,0.550000
8141,0,0.600000
8152,11,0.650000
8150,-2,0.700000
8171,21,0.750000
8182,11,0.800000
8199,17,0.850000
8242,43,0.900000
8312,70,0.950000
10000,1688,1.000000
8019,8019,0.000000
8020,1,0.050000
8020,0,0.100000
8020,0,0.150000
8023,3,0.200000
8025,2,0.250000
8025,0,0.300000
8031,6,0.350000
8037,6,0.400000
8032,-5,0.450000
8039,7,0.500000
8040,1,0.550000
8050,10,0.600000
8053,3,0.650000
8068,15,0.700000
8063,-5,0.750000
8095,32,0.800000
8104,9,0.850000
8134,30,0.900000
8213,79,0.950000
10000,1787,1.000000
8063,8063,0.000000
8064,1,0.050000
8065,1,0.100000
8065,0,0.150000
8064,-1,0.200000
8066,2,0.250000
8066,0,0.300000
8071,5,0.350000
8074,3,0.400000
8073,-1,0.450000
8075,2,0.500000
8074,-1,0.550000
8083,9,0.600000
8083,0,0.650000
8097,14,0.700000
8101,4,0.750000
8122,21,0.800000
8143,21,0.850000
8188,45,0.900000
8278,90,0.950000
10000,1722,1.000000
8074,8074,0.000000
8077,3,0.050000
8085,8,0.100000
8095,10,0.150000
8096,1,0.200000
8099,3,0.250000
8099,0,0.300000
8110,11,0.350000
8107,-3,0.400000
8122,15,0.450000
8128,6,0.500000
8132,4,0.550000
8139,7,0.600000
8153,14,0.650000
8151,-2,0.700000
8177,26,0.750000
8177,0,0.800000
8217,40,0.850000
8249,32,0.900000
8330,81,0.950000
10000,1670,1.000000
8142,8142,0.000000
8144,2,0.050000
8142,-2,0.100000
8146,4,0.150000
8143,-3,0.200000
8150,7,0.250000
8151,1,0.300000
8148,-3,0.350000
8150,2,0.400000
8154,4,0.450000
8156,2,0.500000
